membre_id,lead_id,date_adhesion,proprietaire_origine,age,genre,commune,source_acquisition,statut_membre,date_dernier_passage,frequence_hebdo,utilisation_coaching,score_risque_churn
MEM-00052,LEAD-2026-0381,2026-04-21,USR-02,33,F,Versailles,instagram,actif,2026-04-13,0.0,faux,100
MEM-00053,LEAD-2026-0384,2026-06-09,USR-02,50,H,Versailles,google_ads,actif,2026-06-21,4.9,faux,11
MEM-00054,LEAD-2026-0399,2026-05-02,USR-02,24,F,Viroflay,site_web,actif,2026-05-17,0.0,faux,100
MEM-00055,LEAD-2026-0400,2026-05-15,USR-02,42,H,Bailly,instagram,actif,2026-06-20,3.2,faux,30
MEM-00056,LEAD-2026-0426,2026-05-01,USR-02,51,H,Versailles,google_ads,actif,2026-06-21,2.5,faux,42
MEM-00057,LEAD-2026-0427,2026-04-10,USR-02,46,F,Versailles,site_web,actif,2026-06-21,2.2,faux,49
MEM-00058,LEAD-2026-0429,2026-06-06,USR-02,34,F,Buc,instagram,actif,2026-06-14,1.3,faux,58
MEM-00059,LEAD-2026-0433,2026-05-30,USR-02,31,F,Viroflay,instagram,actif,2026-06-21,1.7,vrai,60
MEM-00060,LEAD-2026-0449,2026-06-20,USR-02,56,F,Versailles,instagram,actif,2026-06-16,1.0,faux,71
MEM-00061,LEAD-2026-0464,2026-06-28,USR-01,51,F,Vélizy-Villacoublay,instagram,actif,2026-05-03,0.0,faux,100
MEM-00062,LEAD-2026-0466,2026-06-02,USR-02,56,H,Saint-Cyr-l'École,google_ads,actif,2026-05-09,0.0,faux,99
MEM-00063,LEAD-2026-0468,2026-04-10,USR-02,48,F,Viroflay,instagram,actif,2026-06-18,0.6,faux,72
MEM-00064,LEAD-2026-0470,2026-04-27,USR-02,20,F,Versailles,instagram,actif,2026-04-11,0.0,faux,100
MEM-00065,LEAD-2026-0471,2026-06-29,USR-02,51,H,Versailles,instagram,actif,2026-06-21,2.6,faux,49
MEM-00066,LEAD-2026-0476,2026-06-16,USR-02,24,F,Versailles,instagram,actif,2026-06-20,2.5,faux,38
MEM-00067,LEAD-2026-0478,2026-05-11,USR-01,38,F,Versailles,site_web,actif,2026-06-11,1.9,faux,65
MEM-00068,LEAD-2026-0490,2026-06-12,USR-01,46,H,Versailles,recommandation,actif,2026-03-06,0.0,faux,100
MEM-00069,LEAD-2026-0491,2026-04-21,USR-02,34,H,Viroflay,instagram,actif,2026-03-31,0.0,faux,100
MEM-00070,LEAD-2026-0492,2026-06-02,USR-02,55,F,Versailles,site_web,actif,2026-06-20,1.5,faux,50
MEM-00071,LEAD-2026-0501,2026-04-11,USR-02,41,F,Le Chesnay-Rocquencourt,recommandation,actif,2026-06-20,3.1,faux,42
MEM-00072,LEAD-2026-0503,2026-06-04,USR-01,45,F,Saint-Cyr-l'École,site_web,actif,2026-06-20,0.4,faux,69
MEM-00073,LEAD-2026-0514,2026-06-30,USR-02,23,F,Viroflay,site_web,actif,2026-06-21,3.9,faux,20
MEM-00074,LEAD-2026-0518,2026-04-27,USR-02,52,H,Viroflay,instagram,actif,2026-04-19,0.0,vrai,100
MEM-00075,LEAD-2026-0536,2026-06-03,USR-02,22,H,Versailles,instagram,actif,2026-06-19,4.0,vrai,16
MEM-00076,LEAD-2026-0543,2026-06-09,USR-02,52,F,Viroflay,google_ads,actif,2026-06-20,1.8,faux,48
MEM-00077,LEAD-2026-0551,2026-05-08,USR-02,30,F,Saint-Cyr-l'École,recommandation,actif,2026-06-19,3.3,faux,25
MEM-00078,LEAD-2026-0552,2026-05-12,USR-02,49,H,Bailly,instagram,actif,2026-06-21,2.3,faux,45
MEM-00079,LEAD-2026-0555,2026-05-10,USR-02,51,F,Versailles,instagram,actif,2026-06-20,3.5,faux,32
MEM-00080,LEAD-2026-0560,2026-05-02,USR-02,45,F,Buc,instagram,actif,2026-06-19,3.1,faux,36
MEM-00081,LEAD-2026-0565,2026-04-18,USR-02,27,H,Versailles,instagram,actif,2026-06-14,1.1,faux,61
MEM-00082,LEAD-2026-0570,2026-04-19,USR-02,29,H,Le Chesnay-Rocquencourt,google_ads,actif,2026-06-20,3.4,faux,27
MEM-00083,,2022-07-30,USR-02,59,F,Le Chesnay-Rocquencourt,instagram,actif,2026-06-18,3.6,faux,29
MEM-00084,,2025-09-22,USR-02,49,F,Saint-Cyr-l'École,instagram,actif,2026-06-19,1.2,faux,68
MEM-00085,,2024-06-06,USR-02,43,F,Versailles,google_ads,actif,2026-06-21,1.6,vrai,55
MEM-00086,,2022-07-03,USR-01,27,F,Vélizy-Villacoublay,recommandation,actif,2026-06-21,3.4,faux,24
MEM-00087,,2025-08-03,USR-01,20,F,Versailles,instagram,actif,2026-03-29,0.0,vrai,100
MEM-00088,,2023-08-30,USR-02,31,H,Bailly,google_ads,actif,2026-06-16,3.4,faux,40
MEM-00089,,2023-08-20,USR-01,21,H,Versailles,instagram,actif,2026-06-20,3.1,faux,28
MEM-00090,,2023-05-31,USR-02,27,F,Vélizy-Villacoublay,instagram,actif,2026-06-11,1.4,vrai,69
MEM-00091,,2023-02-15,USR-02,35,H,Le Chesnay-Rocquencourt,recommandation,actif,2026-06-17,2.1,faux,52
MEM-00092,,2022-06-24,USR-02,54,F,Versailles,instagram,actif,2026-06-21,1.8,faux,47
MEM-00093,,2022-03-07,USR-02,47,H,Buc,instagram,actif,2026-03-14,0.0,faux,100
MEM-00094,,2023-09-26,USR-02,42,F,Versailles,instagram,actif,2026-06-21,4.6,faux,19
MEM-00095,,2025-10-16,USR-02,51,H,Le Chesnay-Rocquencourt,google_ads,actif,2026-06-21,3.3,faux,35
MEM-00096,,2021-09-05,USR-02,45,H,Viroflay,instagram,actif,2026-06-18,1.3,faux,64
MEM-00097,,2024-04-27,USR-01,54,H,Versailles,instagram,actif,2026-03-27,0.0,faux,100
MEM-00098,,2023-08-27,USR-02,29,H,Le Chesnay-Rocquencourt,google_ads,actif,2026-06-20,1.1,faux,61
MEM-00099,,2025-04-25,USR-02,27,H,Viroflay,instagram,actif,2026-06-16,1.9,faux,58
MEM-00100,,2021-06-23,USR-02,46,H,Jouy-en-Josas,recommandation,actif,2026-06-14,0.7,faux,75
MEM-00101,,2026-01-02,USR-02,60,F,Bailly,instagram,actif,2026-06-17,0.3,faux,83
MEM-00102,,2021-11-21,USR-02,52,F,Vélizy-Villacoublay,recommandation,actif,2026-06-16,1.1,faux,70
MEM-00103,,2025-10-24,USR-02,54,F,Saint-Cyr-l'École,instagram,actif,2026-06-19,1.8,vrai,56
MEM-00104,,2022-07-29,USR-02,47,F,Versailles,site_web,actif,2026-06-21,1.6,faux,60
MEM-00105,,2023-02-15,USR-01,30,H,Le Chesnay-Rocquencourt,recommandation,actif,2026-06-20,1.4,faux,52
MEM-00106,,2026-02-20,USR-02,58,F,Bailly,recommandation,actif,2026-06-13,2.2,vrai,57
MEM-00107,,2021-04-20,USR-02,52,F,Versailles,instagram,actif,2026-06-21,4.3,faux,15
MEM-00108,,2022-04-29,USR-02,48,H,Jouy-en-Josas,google_ads,actif,2026-06-21,2.6,vrai,48
MEM-00109,,2021-04-30,USR-01,25,F,Versailles,instagram,actif,2026-06-21,1.7,faux,58
MEM-00110,,2024-08-08,USR-02,35,H,Vélizy-Villacoublay,site_web,actif,2026-06-18,0.9,faux,67
MEM-00111,,2024-01-10,USR-01,37,H,Versailles,site_web,actif,2026-03-05,0.0,faux,100
MEM-00112,,2023-10-17,USR-02,41,F,Versailles,google_ads,actif,2026-06-19,2.8,faux,43
MEM-00113,,2022-06-10,USR-02,39,H,Versailles,recommandation,actif,2026-06-20,2.3,faux,54
MEM-00114,,2021-05-04,USR-02,34,H,Versailles,instagram,actif,2026-06-21,1.2,faux,69
MEM-00115,,2025-05-18,USR-01,59,F,Versailles,google_ads,actif,2026-06-09,0.5,faux,84
MEM-00116,,2024-06-17,USR-02,58,H,Le Chesnay-Rocquencourt,instagram,actif,2026-04-29,0.0,vrai,100
MEM-00117,,2025-12-22,USR-02,32,H,Versailles,google_ads,actif,2026-06-20,2.5,faux,51
MEM-00118,,2023-09-06,USR-02,25,F,Buc,instagram,actif,2026-06-21,1.7,faux,54
MEM-00119,,2024-02-01,USR-02,57,H,Vélizy-Villacoublay,recommandation,actif,2026-06-13,1.4,faux,68
MEM-00120,,2023-10-18,USR-02,55,H,Versailles,site_web,actif,2026-05-17,0.0,faux,100
MEM-00121,,2025-08-12,USR-02,29,H,Vélizy-Villacoublay,site_web,actif,2026-06-18,2.9,faux,36
MEM-00122,,2025-10-06,USR-01,30,H,Versailles,google_ads,actif,2026-06-07,0.3,faux,82
MEM-00123,,2024-08-01,USR-01,40,H,Vélizy-Villacoublay,site_web,actif,2026-03-30,0.0,faux,100
MEM-00124,,2025-06-13,USR-02,20,F,Versailles,instagram,actif,2026-04-27,0.0,faux,100
MEM-00125,,2024-10-31,USR-02,47,F,Le Chesnay-Rocquencourt,recommandation,actif,2026-06-20,2.8,faux,36
MEM-00126,,2021-10-17,USR-02,56,F,Viroflay,instagram,actif,2026-06-20,1.6,faux,64
MEM-00127,,2022-02-25,USR-02,43,H,Saint-Cyr-l'École,google_ads,actif,2026-06-18,1.0,faux,68
MEM-00128,,2025-06-30,USR-02,46,H,Buc,site_web,actif,2026-06-21,2.3,faux,49
MEM-00129,,2022-04-04,USR-02,57,F,Buc,instagram,actif,2026-06-09,0.5,faux,82
MEM-00130,,2021-11-12,USR-02,47,H,Le Chesnay-Rocquencourt,google_ads,actif,2026-06-20,2.4,faux,41
MEM-00131,,2021-07-06,USR-02,40,H,Le Chesnay-Rocquencourt,google_ads,actif,2026-06-20,3.2,vrai,31
MEM-00132,,2021-10-06,USR-02,60,F,Le Chesnay-Rocquencourt,google_ads,actif,2026-06-21,2.7,faux,39
MEM-00133,,2022-04-24,USR-02,47,H,Versailles,site_web,actif,2026-06-18,2.6,faux,42
MEM-00134,,2022-10-28,USR-02,23,F,Bailly,instagram,actif,2026-06-19,3.0,faux,32
MEM-00135,,2024-05-30,USR-02,19,H,Versailles,recommandation,actif,2026-06-20,2.5,faux,45
MEM-00136,,2022-06-03,USR-02,19,F,Le Chesnay-Rocquencourt,instagram,actif,2026-06-17,1.6,vrai,57
MEM-00137,,2022-08-26,USR-01,46,H,Le Chesnay-Rocquencourt,google_ads,actif,2026-03-25,0.0,faux,100
MEM-00138,,2024-03-10,USR-01,46,F,Versailles,recommandation,actif,2026-06-17,2.1,faux,44
MEM-00139,,2024-08-16,USR-02,59,H,Versailles,instagram,actif,2026-06-21,1.3,faux,66
MEM-00140,,2023-09-10,USR-02,60,F,Vélizy-Villacoublay,instagram,actif,2026-03-15,0.0,vrai,100
MEM-00141,,2024-11-27,USR-02,44,H,Jouy-en-Josas,instagram,actif,2026-06-21,2.6,faux,35
MEM-00142,,2022-03-28,USR-02,41,F,Jouy-en-Josas,google_ads,actif,2026-06-20,2.8,vrai,35
MEM-00143,,2023-07-18,USR-02,44,F,Le Chesnay-Rocquencourt,google_ads,actif,2026-06-21,3.7,faux,17
MEM-00144,,2024-10-30,USR-02,34,H,Vélizy-Villacoublay,recommandation,actif,2026-04-26,0.0,faux,100
MEM-00145,,2024-11-01,USR-01,34,F,Vélizy-Villacoublay,instagram,actif,2026-06-21,2.7,faux,33
MEM-00146,,2021-11-27,USR-01,41,H,Versailles,google_ads,actif,2026-05-08,0.0,faux,100
MEM-00147,,2024-12-02,USR-01,40,H,Buc,site_web,actif,2026-06-19,3.3,faux,36
MEM-00148,,2024-09-22,USR-01,36,F,Le Chesnay-Rocquencourt,google_ads,actif,2026-06-20,2.7,faux,40
MEM-00149,,2023-06-18,USR-02,34,H,Buc,instagram,actif,2026-06-20,2.8,faux,33
MEM-00150,,2021-07-10,USR-01,44,F,Vélizy-Villacoublay,instagram,actif,2026-03-31,0.0,faux,100
MEM-00151,,2022-03-19,USR-02,57,F,Vélizy-Villacoublay,instagram,actif,2026-06-18,2.9,faux,44
MEM-00152,,2021-06-12,USR-02,52,H,Saint-Cyr-l'École,instagram,actif,2026-06-18,2.0,faux,53
MEM-00153,,2021-04-09,USR-02,31,F,Versailles,google_ads,actif,2026-06-19,2.7,faux,42
MEM-00154,,2023-02-23,USR-02,59,F,Saint-Cyr-l'École,instagram,actif,2026-04-20,0.0,faux,100
MEM-00155,,2023-07-16,USR-02,52,F,Saint-Cyr-l'École,instagram,actif,2026-06-20,1.8,vrai,50
MEM-00156,,2023-10-12,USR-02,32,H,Le Chesnay-Rocquencourt,google_ads,actif,2026-06-20,4.7,faux,5
MEM-00157,,2025-12-20,USR-02,25,F,Le Chesnay-Rocquencourt,google_ads,actif,2026-06-16,2.6,faux,49
MEM-00158,,2024-02-09,USR-02,28,F,Jouy-en-Josas,instagram,actif,2026-02-28,0.0,faux,100
MEM-00159,,2022-07-12,USR-02,42,H,Le Chesnay-Rocquencourt,recommandation,actif,2026-06-19,2.2,faux,48
MEM-00160,,2022-08-19,USR-02,25,H,Buc,site_web,actif,2026-06-13,1.8,vrai,61
MEM-00161,,2023-10-02,USR-02,31,H,Le Chesnay-Rocquencourt,google_ads,actif,2026-06-21,2.2,faux,53
MEM-00162,,2023-01-27,USR-02,36,H,Vélizy-Villacoublay,recommandation,actif,2026-06-19,0.9,faux,71
MEM-00163,,2021-05-16,USR-02,54,F,Viroflay,instagram,actif,2026-06-17,2.3,faux,44
MEM-00164,,2023-03-29,USR-02,50,F,Le Chesnay-Rocquencourt,google_ads,actif,2026-06-19,1.8,vrai,49
MEM-00165,,2025-01-24,USR-02,24,H,Bailly,site_web,actif,2026-06-04,0.3,faux,87
MEM-00166,,2022-02-17,USR-02,43,F,Versailles,recommandation,actif,2026-06-21,3.2,vrai,25
MEM-00167,,2021-01-16,USR-01,55,F,Versailles,recommandation,actif,2026-06-21,3.2,faux,38
MEM-00168,,2024-03-20,USR-02,59,F,Versailles,recommandation,actif,2026-04-13,0.0,faux,100
MEM-00169,,2023-02-05,USR-02,36,H,Le Chesnay-Rocquencourt,google_ads,actif,2026-06-18,2.7,faux,35
MEM-00170,,2024-12-22,USR-02,27,H,Versailles,recommandation,actif,2026-03-15,0.0,faux,100
MEM-00171,,2021-08-01,USR-02,21,H,Le Chesnay-Rocquencourt,recommandation,actif,2026-06-07,0.3,faux,80
MEM-00172,,2023-11-02,USR-02,35,H,Le Chesnay-Rocquencourt,recommandation,actif,2026-06-21,2.3,faux,51
MEM-00173,,2021-12-24,USR-02,32,F,Versailles,instagram,actif,2026-06-21,4.0,faux,23
MEM-00174,,2024-08-08,USR-02,30,H,Buc,google_ads,actif,2026-06-13,1.0,faux,69
MEM-00175,,2023-06-03,USR-02,56,F,Viroflay,instagram,actif,2026-05-18,0.0,faux,100
MEM-00176,,2025-03-09,USR-01,48,F,Vélizy-Villacoublay,site_web,actif,2026-06-21,4.0,vrai,27
MEM-00177,,2023-12-12,USR-02,48,F,Versailles,site_web,actif,2026-06-18,0.5,faux,75
MEM-00178,,2025-08-08,USR-02,36,H,Versailles,google_ads,actif,2026-06-18,3.6,faux,22
MEM-00179,,2021-11-29,USR-02,58,H,Bailly,instagram,actif,2026-05-08,0.0,vrai,100
MEM-00180,,2025-09-01,USR-01,41,H,Versailles,instagram,actif,2026-06-20,3.3,faux,26
MEM-00181,,2021-01-01,USR-02,46,F,Buc,site_web,actif,2026-06-19,3.1,faux,41
MEM-00182,,2023-03-10,USR-02,21,H,Versailles,google_ads,actif,2026-06-21,3.8,faux,19
MEM-00183,,2026-02-11,USR-02,42,H,Bailly,google_ads,actif,2026-06-19,1.5,faux,59
MEM-00184,,2026-05-07,USR-02,42,F,Jouy-en-Josas,instagram,actif,2026-06-19,1.9,faux,51
MEM-00185,,2021-11-18,USR-02,36,H,Saint-Cyr-l'École,instagram,actif,2026-06-18,3.3,vrai,33
MEM-00186,,2024-01-30,USR-02,32,F,Buc,site_web,actif,2026-06-21,2.7,faux,42
MEM-00187,,2024-07-07,USR-02,40,H,Viroflay,google_ads,actif,2026-06-20,1.9,faux,56
MEM-00188,,2023-02-23,USR-02,58,F,Le Chesnay-Rocquencourt,google_ads,actif,2026-06-19,0.9,faux,75
MEM-00189,,2023-11-09,USR-01,23,H,Versailles,recommandation,actif,2026-04-18,0.0,vrai,100
MEM-00190,,2023-02-14,USR-02,36,F,Saint-Cyr-l'École,google_ads,actif,2026-05-08,0.0,faux,100
MEM-00191,,2024-03-06,USR-02,37,H,Vélizy-Villacoublay,instagram,actif,2026-04-17,0.0,faux,100
MEM-00192,,2026-04-07,USR-02,23,F,Versailles,recommandation,actif,2026-06-21,2.8,faux,39
MEM-00193,,2021-11-13,USR-02,24,H,Versailles,recommandation,actif,2026-06-19,1.9,faux,60
MEM-00194,,2024-11-16,USR-02,41,F,Versailles,site_web,actif,2026-06-19,1.8,faux,58
MEM-00195,,2021-06-24,USR-02,50,H,Versailles,instagram,actif,2026-06-19,1.7,faux,54
MEM-00196,,2023-07-17,USR-02,45,H,Le Chesnay-Rocquencourt,google_ads,actif,2026-06-13,1.0,faux,64
MEM-00197,,2024-04-25,USR-02,35,F,Le Chesnay-Rocquencourt,site_web,actif,2026-06-21,2.2,vrai,43
MEM-00198,,2023-08-15,USR-02,21,H,Le Chesnay-Rocquencourt,instagram,actif,2026-04-21,0.0,faux,100
MEM-00199,,2024-01-13,USR-02,20,H,Le Chesnay-Rocquencourt,site_web,actif,2026-06-16,1.2,faux,61
MEM-00200,,2023-06-10,USR-01,59,H,Vélizy-Villacoublay,site_web,actif,2026-06-21,1.1,faux,69
MEM-00201,,2021-04-03,USR-02,50,H,Versailles,site_web,actif,2026-06-17,0.6,faux,79
MEM-00202,,2023-10-26,USR-02,45,F,Viroflay,instagram,actif,2026-06-12,1.4,faux,58
MEM-00203,,2025-09-17,USR-02,60,H,Versailles,site_web,actif,2026-06-11,2.5,faux,42
MEM-00204,,2024-04-15,USR-02,60,H,Versailles,google_ads,actif,2026-06-21,2.2,faux,41
MEM-00205,,2022-04-25,USR-02,60,F,Versailles,instagram,actif,2026-06-21,3.3,faux,31
MEM-00206,,2025-03-06,USR-02,29,H,Versailles,site_web,actif,2026-06-18,3.5,faux,37
MEM-00207,,2022-09-18,USR-02,26,H,Jouy-en-Josas,google_ads,actif,2026-06-21,3.8,faux,23
MEM-00208,,2023-01-20,USR-02,55,F,Viroflay,instagram,actif,2026-06-20,3.8,vrai,31
MEM-00209,,2021-04-29,USR-02,40,F,Viroflay,recommandation,actif,2026-03-26,0.0,faux,100
MEM-00210,,2024-06-05,USR-02,33,H,Vélizy-Villacoublay,instagram,actif,2026-06-20,2.3,faux,44
MEM-00211,,2024-10-25,USR-02,30,F,Saint-Cyr-l'École,google_ads,actif,2026-06-18,2.5,faux,45
MEM-00212,,2025-04-07,USR-02,55,F,Versailles,site_web,actif,2026-06-20,4.7,faux,14
MEM-00213,,2021-08-29,USR-02,36,F,Versailles,instagram,actif,2026-06-19,1.5,faux,55
MEM-00214,,2023-12-18,USR-02,35,H,Bailly,instagram,actif,2026-06-20,2.0,vrai,50
MEM-00215,,2023-10-20,USR-02,24,H,Jouy-en-Josas,recommandation,actif,2026-06-16,0.6,faux,68
MEM-00216,,2025-06-05,USR-02,57,H,Buc,google_ads,actif,2026-06-21,2.6,faux,47
MEM-00217,,2025-09-26,USR-02,28,H,Le Chesnay-Rocquencourt,instagram,actif,2026-06-21,2.7,vrai,40
MEM-00218,,2023-02-08,USR-02,48,H,Le Chesnay-Rocquencourt,google_ads,actif,2026-06-18,2.9,faux,44
MEM-00219,,2023-11-09,USR-02,34,F,Viroflay,instagram,actif,2026-04-02,0.0,faux,100
MEM-00220,,2022-08-25,USR-02,60,F,Le Chesnay-Rocquencourt,instagram,actif,2026-06-20,2.5,faux,50
MEM-00221,,2023-11-11,USR-02,34,F,Versailles,google_ads,actif,2026-06-21,2.3,faux,46
MEM-00222,,2021-05-05,USR-01,22,F,Versailles,instagram,actif,2026-06-20,0.9,faux,63
MEM-00223,,2026-01-30,USR-01,28,H,Le Chesnay-Rocquencourt,instagram,actif,2026-06-18,2.3,faux,47
MEM-00224,,2023-04-09,USR-02,21,H,Viroflay,google_ads,actif,2026-06-16,2.1,faux,47
MEM-00225,,2022-08-09,USR-01,23,F,Versailles,recommandation,actif,2026-03-20,0.0,vrai,100
MEM-00226,,2024-05-22,USR-02,26,H,Le Chesnay-Rocquencourt,recommandation,actif,2026-06-14,1.6,faux,63
MEM-00227,,2024-01-29,USR-02,28,F,Le Chesnay-Rocquencourt,instagram,actif,2026-06-21,2.9,faux,30
MEM-00228,,2023-11-30,USR-02,21,H,Viroflay,site_web,actif,2026-04-04,0.0,faux,100
MEM-00229,,2024-05-03,USR-02,58,H,Versailles,google_ads,actif,2026-06-17,2.5,faux,37
MEM-00230,,2025-01-01,USR-02,52,H,Jouy-en-Josas,instagram,actif,2026-06-21,1.9,faux,52
MEM-00231,,2021-10-10,USR-02,27,F,Bailly,site_web,actif,2026-06-19,2.7,faux,48
