paiement_id,abonnement_id,membre_id,date_paiement,montant,mode_paiement,statut_paiement
PAY-000034,ABO-00012,MEM-00012,2026-04-05,49.0,prelevement_sepa,paye
PAY-000035,ABO-00012,MEM-00012,2026-05-05,49.0,prelevement_sepa,paye
PAY-000036,ABO-00012,MEM-00012,2026-06-05,49.0,prelevement_sepa,paye
PAY-000037,ABO-00013,MEM-00013,2026-04-05,49.0,prelevement_sepa,paye
PAY-000038,ABO-00013,MEM-00013,2026-05-05,49.0,prelevement_sepa,paye
PAY-000039,ABO-00013,MEM-00013,2026-06-05,49.0,prelevement_sepa,paye
PAY-000040,ABO-00014,MEM-00014,2026-04-05,69.0,prelevement_sepa,paye
PAY-000041,ABO-00014,MEM-00014,2026-05-05,69.0,prelevement_sepa,paye
PAY-000042,ABO-00014,MEM-00014,2026-06-05,69.0,prelevement_sepa,paye
PAY-000043,ABO-00015,MEM-00015,2026-04-05,49.0,prelevement_sepa,paye
PAY-000044,ABO-00015,MEM-00015,2026-05-05,49.0,prelevement_sepa,paye
PAY-000045,ABO-00015,MEM-00015,2026-06-05,49.0,prelevement_sepa,paye
PAY-000046,ABO-00016,MEM-00016,2026-04-05,69.0,prelevement_sepa,paye
PAY-000047,ABO-00016,MEM-00016,2026-05-05,69.0,prelevement_sepa,paye
PAY-000048,ABO-00016,MEM-00016,2026-06-05,69.0,prelevement_sepa,paye
PAY-000049,ABO-00017,MEM-00017,2026-04-05,69.0,prelevement_sepa,paye
PAY-000050,ABO-00017,MEM-00017,2026-05-05,69.0,prelevement_sepa,paye
PAY-000051,ABO-00017,MEM-00017,2026-06-05,69.0,prelevement_sepa,paye
PAY-000052,ABO-00018,MEM-00018,2026-04-05,49.0,prelevement_sepa,paye
PAY-000053,ABO-00018,MEM-00018,2026-05-05,49.0,prelevement_sepa,paye
PAY-000054,ABO-00018,MEM-00018,2026-06-05,49.0,prelevement_sepa,paye
PAY-000055,ABO-00019,MEM-00019,2026-04-05,49.0,cb,paye
PAY-000056,ABO-00019,MEM-00019,2026-05-05,49.0,cb,paye
PAY-000057,ABO-00019,MEM-00019,2026-06-05,49.0,cb,paye
PAY-000058,ABO-00020,MEM-00020,2026-04-05,69.0,prelevement_sepa,echoue
PAY-000059,ABO-00020,MEM-00020,2026-05-05,69.0,prelevement_sepa,paye
PAY-000060,ABO-00020,MEM-00020,2026-06-05,69.0,prelevement_sepa,paye
PAY-000061,ABO-00021,MEM-00021,2026-04-05,69.0,prelevement_sepa,paye
PAY-000062,ABO-00021,MEM-00021,2026-05-05,69.0,prelevement_sepa,paye
PAY-000063,ABO-00021,MEM-00021,2026-06-05,69.0,prelevement_sepa,paye
PAY-000064,ABO-00022,MEM-00022,2026-04-05,49.0,prelevement_sepa,paye
PAY-000065,ABO-00022,MEM-00022,2026-05-05,49.0,prelevement_sepa,paye
PAY-000066,ABO-00022,MEM-00022,2026-06-05,49.0,prelevement_sepa,paye
PAY-000067,ABO-00023,MEM-00023,2026-04-05,69.0,prelevement_sepa,paye
PAY-000068,ABO-00023,MEM-00023,2026-05-05,69.0,prelevement_sepa,paye
PAY-000069,ABO-00023,MEM-00023,2026-06-05,69.0,prelevement_sepa,paye
PAY-000070,ABO-00024,MEM-00024,2026-04-05,49.0,prelevement_sepa,paye
PAY-000071,ABO-00024,MEM-00024,2026-05-05,49.0,prelevement_sepa,paye
PAY-000072,ABO-00024,MEM-00024,2026-06-05,49.0,prelevement_sepa,paye
PAY-000073,ABO-00025,MEM-00025,2026-04-05,69.0,cb,paye
PAY-000074,ABO-00025,MEM-00025,2026-05-05,69.0,cb,paye
PAY-000075,ABO-00025,MEM-00025,2026-06-05,69.0,cb,paye
PAY-000076,ABO-00026,MEM-00026,2026-04-05,49.0,prelevement_sepa,paye
PAY-000077,ABO-00026,MEM-00026,2026-05-05,49.0,prelevement_sepa,paye
PAY-000078,ABO-00026,MEM-00026,2026-06-05,49.0,prelevement_sepa,paye
PAY-000079,ABO-00027,MEM-00027,2026-04-05,69.0,prelevement_sepa,paye
PAY-000080,ABO-00027,MEM-00027,2026-05-05,69.0,prelevement_sepa,paye
PAY-000081,ABO-00027,MEM-00027,2026-06-05,69.0,prelevement_sepa,paye
PAY-000082,ABO-00028,MEM-00028,2026-04-05,49.0,prelevement_sepa,paye
PAY-000083,ABO-00028,MEM-00028,2026-05-05,49.0,prelevement_sepa,paye
PAY-000084,ABO-00028,MEM-00028,2026-06-05,49.0,prelevement_sepa,paye
PAY-000085,ABO-00029,MEM-00029,2026-04-05,49.0,prelevement_sepa,paye
PAY-000086,ABO-00029,MEM-00029,2026-05-05,49.0,prelevement_sepa,paye
PAY-000087,ABO-00029,MEM-00029,2026-06-05,49.0,prelevement_sepa,paye
PAY-000088,ABO-00030,MEM-00030,2026-04-05,69.0,prelevement_sepa,paye
PAY-000089,ABO-00030,MEM-00030,2026-05-05,69.0,prelevement_sepa,paye
PAY-000090,ABO-00030,MEM-00030,2026-06-05,69.0,prelevement_sepa,paye
PAY-000091,ABO-00031,MEM-00031,2026-04-05,69.0,cb,paye
PAY-000092,ABO-00031,MEM-00031,2026-05-05,69.0,cb,paye
PAY-000093,ABO-00031,MEM-00031,2026-06-05,69.0,cb,paye
PAY-000094,ABO-00032,MEM-00032,2026-04-05,49.0,prelevement_sepa,paye
PAY-000095,ABO-00032,MEM-00032,2026-05-05,49.0,prelevement_sepa,paye
PAY-000096,ABO-00032,MEM-00032,2026-06-05,49.0,prelevement_sepa,paye
PAY-000097,ABO-00033,MEM-00033,2026-04-05,49.0,prelevement_sepa,paye
PAY-000098,ABO-00033,MEM-00033,2026-05-05,49.0,prelevement_sepa,paye
PAY-000099,ABO-00033,MEM-00033,2026-06-05,49.0,prelevement_sepa,paye
PAY-000100,ABO-00034,MEM-00034,2026-04-05,49.0,prelevement_sepa,paye
PAY-000101,ABO-00034,MEM-00034,2026-05-05,49.0,prelevement_sepa,paye
PAY-000102,ABO-00034,MEM-00034,2026-06-05,49.0,prelevement_sepa,paye
PAY-000103,ABO-00035,MEM-00035,2026-04-05,49.0,prelevement_sepa,paye
PAY-000104,ABO-00035,MEM-00035,2026-05-05,49.0,prelevement_sepa,paye
PAY-000105,ABO-00035,MEM-00035,2026-06-05,49.0,prelevement_sepa,paye
PAY-000106,ABO-00036,MEM-00036,2026-04-05,49.0,prelevement_sepa,paye
PAY-000107,ABO-00036,MEM-00036,2026-05-05,49.0,prelevement_sepa,paye
PAY-000108,ABO-00036,MEM-00036,2026-06-05,49.0,prelevement_sepa,paye
PAY-000109,ABO-00037,MEM-00037,2026-04-05,69.0,prelevement_sepa,paye
PAY-000110,ABO-00037,MEM-00037,2026-05-05,69.0,prelevement_sepa,paye
PAY-000111,ABO-00037,MEM-00037,2026-06-05,69.0,prelevement_sepa,paye
PAY-000112,ABO-00038,MEM-00038,2026-04-05,69.0,prelevement_sepa,paye
PAY-000113,ABO-00038,MEM-00038,2026-05-05,69.0,prelevement_sepa,paye
PAY-000114,ABO-00038,MEM-00038,2026-06-05,69.0,prelevement_sepa,paye
PAY-000115,ABO-00039,MEM-00039,2026-04-05,69.0,cb,paye
PAY-000116,ABO-00039,MEM-00039,2026-05-05,69.0,cb,paye
PAY-000117,ABO-00039,MEM-00039,2026-06-05,69.0,cb,paye
PAY-000118,ABO-00040,MEM-00040,2026-04-05,69.0,prelevement_sepa,paye
PAY-000119,ABO-00040,MEM-00040,2026-05-05,69.0,prelevement_sepa,paye
PAY-000120,ABO-00040,MEM-00040,2026-06-05,69.0,prelevement_sepa,paye
PAY-000121,ABO-00041,MEM-00041,2026-04-05,69.0,prelevement_sepa,paye
PAY-000122,ABO-00041,MEM-00041,2026-05-05,69.0,prelevement_sepa,paye
PAY-000123,ABO-00041,MEM-00041,2026-06-05,69.0,prelevement_sepa,paye
PAY-000124,ABO-00042,MEM-00042,2026-04-05,49.0,prelevement_sepa,paye
PAY-000125,ABO-00042,MEM-00042,2026-05-05,49.0,prelevement_sepa,paye
PAY-000126,ABO-00042,MEM-00042,2026-06-05,49.0,prelevement_sepa,paye
PAY-000127,ABO-00043,MEM-00043,2026-04-05,69.0,prelevement_sepa,paye
PAY-000128,ABO-00043,MEM-00043,2026-05-05,69.0,prelevement_sepa,paye
PAY-000129,ABO-00043,MEM-00043,2026-06-05,69.0,prelevement_sepa,echoue
PAY-000130,ABO-00044,MEM-00044,2026-04-05,49.0,prelevement_sepa,paye
PAY-000131,ABO-00044,MEM-00044,2026-05-05,49.0,prelevement_sepa,paye
PAY-000132,ABO-00044,MEM-00044,2026-06-05,49.0,prelevement_sepa,paye
PAY-000133,ABO-00045,MEM-00045,2026-04-05,49.0,prelevement_sepa,paye
PAY-000134,ABO-00045,MEM-00045,2026-05-05,49.0,prelevement_sepa,paye
PAY-000135,ABO-00045,MEM-00045,2026-06-05,49.0,prelevement_sepa,paye
PAY-000136,ABO-00046,MEM-00046,2026-04-05,69.0,prelevement_sepa,paye
PAY-000137,ABO-00046,MEM-00046,2026-05-05,69.0,prelevement_sepa,paye
PAY-000138,ABO-00046,MEM-00046,2026-06-05,69.0,prelevement_sepa,paye
PAY-000139,ABO-00047,MEM-00047,2026-04-05,49.0,prelevement_sepa,paye
PAY-000140,ABO-00047,MEM-00047,2026-05-05,49.0,prelevement_sepa,paye
PAY-000141,ABO-00047,MEM-00047,2026-06-05,49.0,prelevement_sepa,paye
PAY-000142,ABO-00048,MEM-00048,2026-04-05,49.0,prelevement_sepa,paye
PAY-000143,ABO-00048,MEM-00048,2026-05-05,49.0,prelevement_sepa,paye
PAY-000144,ABO-00048,MEM-00048,2026-06-05,49.0,prelevement_sepa,paye
PAY-000145,ABO-00049,MEM-00049,2026-04-05,69.0,prelevement_sepa,paye
PAY-000146,ABO-00049,MEM-00049,2026-05-05,69.0,prelevement_sepa,paye
PAY-000147,ABO-00049,MEM-00049,2026-06-05,69.0,prelevement_sepa,paye
PAY-000148,ABO-00050,MEM-00050,2026-04-05,49.0,prelevement_sepa,paye
PAY-000149,ABO-00050,MEM-00050,2026-05-05,49.0,prelevement_sepa,paye
PAY-000150,ABO-00050,MEM-00050,2026-06-05,49.0,prelevement_sepa,paye
PAY-000151,ABO-00051,MEM-00051,2026-04-05,49.0,prelevement_sepa,paye
PAY-000152,ABO-00051,MEM-00051,2026-05-05,49.0,prelevement_sepa,paye
PAY-000153,ABO-00051,MEM-00051,2026-06-05,49.0,prelevement_sepa,paye
PAY-000154,ABO-00052,MEM-00052,2026-04-05,49.0,prelevement_sepa,paye
PAY-000155,ABO-00052,MEM-00052,2026-05-05,49.0,prelevement_sepa,paye
PAY-000156,ABO-00052,MEM-00052,2026-06-05,49.0,prelevement_sepa,paye
PAY-000157,ABO-00053,MEM-00053,2026-04-05,49.0,prelevement_sepa,paye
PAY-000158,ABO-00053,MEM-00053,2026-05-05,49.0,prelevement_sepa,paye
PAY-000159,ABO-00053,MEM-00053,2026-06-05,49.0,prelevement_sepa,paye
PAY-000160,ABO-00054,MEM-00054,2026-04-05,49.0,cb,paye
PAY-000161,ABO-00054,MEM-00054,2026-05-05,49.0,cb,paye
PAY-000162,ABO-00054,MEM-00054,2026-06-05,49.0,cb,paye
PAY-000163,ABO-00055,MEM-00055,2026-04-05,69.0,prelevement_sepa,paye
PAY-000164,ABO-00055,MEM-00055,2026-05-05,69.0,prelevement_sepa,paye
PAY-000165,ABO-00055,MEM-00055,2026-06-05,69.0,prelevement_sepa,paye
PAY-000166,ABO-00056,MEM-00056,2026-04-05,49.0,cb,paye
PAY-000167,ABO-00056,MEM-00056,2026-05-05,49.0,cb,paye
PAY-000168,ABO-00056,MEM-00056,2026-06-05,49.0,cb,echoue
PAY-000169,ABO-00057,MEM-00057,2026-04-05,49.0,prelevement_sepa,paye
PAY-000170,ABO-00057,MEM-00057,2026-05-05,49.0,prelevement_sepa,paye
PAY-000171,ABO-00057,MEM-00057,2026-06-05,49.0,prelevement_sepa,paye
PAY-000172,ABO-00058,MEM-00058,2026-04-05,49.0,prelevement_sepa,paye
PAY-000173,ABO-00058,MEM-00058,2026-05-05,49.0,prelevement_sepa,paye
PAY-000174,ABO-00058,MEM-00058,2026-06-05,49.0,prelevement_sepa,paye
PAY-000175,ABO-00059,MEM-00059,2026-04-05,49.0,especes,paye
PAY-000176,ABO-00059,MEM-00059,2026-05-05,49.0,especes,paye
PAY-000177,ABO-00059,MEM-00059,2026-06-05,49.0,especes,paye
PAY-000178,ABO-00060,MEM-00060,2026-04-05,49.0,prelevement_sepa,paye
PAY-000179,ABO-00060,MEM-00060,2026-05-05,49.0,prelevement_sepa,paye
PAY-000180,ABO-00060,MEM-00060,2026-06-05,49.0,prelevement_sepa,paye
PAY-000181,ABO-00061,MEM-00061,2026-04-05,49.0,prelevement_sepa,paye
PAY-000182,ABO-00061,MEM-00061,2026-05-05,49.0,prelevement_sepa,paye
PAY-000183,ABO-00061,MEM-00061,2026-06-05,49.0,prelevement_sepa,paye
PAY-000184,ABO-00062,MEM-00062,2026-04-05,49.0,prelevement_sepa,paye
PAY-000185,ABO-00062,MEM-00062,2026-05-05,49.0,prelevement_sepa,paye
PAY-000186,ABO-00062,MEM-00062,2026-06-05,49.0,prelevement_sepa,paye
PAY-000187,ABO-00063,MEM-00063,2026-04-05,49.0,prelevement_sepa,paye
PAY-000188,ABO-00063,MEM-00063,2026-05-05,49.0,prelevement_sepa,paye
PAY-000189,ABO-00063,MEM-00063,2026-06-05,49.0,prelevement_sepa,paye
PAY-000190,ABO-00064,MEM-00064,2026-04-05,69.0,prelevement_sepa,paye
PAY-000191,ABO-00064,MEM-00064,2026-05-05,69.0,prelevement_sepa,paye
PAY-000192,ABO-00064,MEM-00064,2026-06-05,69.0,prelevement_sepa,paye
PAY-000193,ABO-00065,MEM-00065,2026-04-05,69.0,prelevement_sepa,paye
PAY-000194,ABO-00065,MEM-00065,2026-05-05,69.0,prelevement_sepa,paye
PAY-000195,ABO-00065,MEM-00065,2026-06-05,69.0,prelevement_sepa,paye
PAY-000196,ABO-00066,MEM-00066,2026-04-05,69.0,prelevement_sepa,paye
PAY-000197,ABO-00066,MEM-00066,2026-05-05,69.0,prelevement_sepa,paye
PAY-000198,ABO-00066,MEM-00066,2026-06-05,69.0,prelevement_sepa,paye
PAY-000199,ABO-00067,MEM-00067,2026-04-05,49.0,prelevement_sepa,paye
PAY-000200,ABO-00067,MEM-00067,2026-05-05,49.0,prelevement_sepa,paye
PAY-000201,ABO-00067,MEM-00067,2026-06-05,49.0,prelevement_sepa,paye
PAY-000202,ABO-00068,MEM-00068,2026-04-05,49.0,cb,paye
PAY-000203,ABO-00068,MEM-00068,2026-05-05,49.0,cb,paye
PAY-000204,ABO-00068,MEM-00068,2026-06-05,49.0,cb,paye
PAY-000205,ABO-00069,MEM-00069,2026-04-05,49.0,prelevement_sepa,paye
PAY-000206,ABO-00069,MEM-00069,2026-05-05,49.0,prelevement_sepa,paye
PAY-000207,ABO-00069,MEM-00069,2026-06-05,49.0,prelevement_sepa,paye
PAY-000208,ABO-00070,MEM-00070,2026-04-05,49.0,cb,paye
PAY-000209,ABO-00070,MEM-00070,2026-05-05,49.0,cb,paye
PAY-000210,ABO-00070,MEM-00070,2026-06-05,49.0,cb,paye
PAY-000211,ABO-00071,MEM-00071,2026-04-05,49.0,cb,paye
PAY-000212,ABO-00071,MEM-00071,2026-05-05,49.0,cb,paye
PAY-000213,ABO-00071,MEM-00071,2026-06-05,49.0,cb,paye
PAY-000214,ABO-00072,MEM-00072,2026-04-05,49.0,prelevement_sepa,paye
PAY-000215,ABO-00072,MEM-00072,2026-05-05,49.0,prelevement_sepa,paye
PAY-000216,ABO-00072,MEM-00072,2026-06-05,49.0,prelevement_sepa,paye
PAY-000217,ABO-00073,MEM-00073,2026-04-05,49.0,especes,paye
PAY-000218,ABO-00073,MEM-00073,2026-05-05,49.0,especes,paye
PAY-000219,ABO-00073,MEM-00073,2026-06-05,49.0,especes,paye
PAY-000220,ABO-00074,MEM-00074,2026-04-05,69.0,prelevement_sepa,paye
PAY-000221,ABO-00074,MEM-00074,2026-05-05,69.0,prelevement_sepa,paye
PAY-000222,ABO-00074,MEM-00074,2026-06-05,69.0,prelevement_sepa,paye
PAY-000223,ABO-00075,MEM-00075,2026-04-05,69.0,cb,paye
PAY-000224,ABO-00075,MEM-00075,2026-05-05,69.0,cb,paye
PAY-000225,ABO-00075,MEM-00075,2026-06-05,69.0,cb,echoue
PAY-000226,ABO-00076,MEM-00076,2026-04-05,49.0,prelevement_sepa,paye
PAY-000227,ABO-00076,MEM-00076,2026-05-05,49.0,prelevement_sepa,paye
PAY-000228,ABO-00076,MEM-00076,2026-06-05,49.0,prelevement_sepa,paye
PAY-000229,ABO-00077,MEM-00077,2026-04-05,49.0,prelevement_sepa,paye
PAY-000230,ABO-00077,MEM-00077,2026-05-05,49.0,prelevement_sepa,paye
PAY-000231,ABO-00077,MEM-00077,2026-06-05,49.0,prelevement_sepa,paye
PAY-000232,ABO-00078,MEM-00078,2026-04-05,49.0,prelevement_sepa,paye
PAY-000233,ABO-00078,MEM-00078,2026-05-05,49.0,prelevement_sepa,paye
PAY-000234,ABO-00078,MEM-00078,2026-06-05,49.0,prelevement_sepa,paye
PAY-000235,ABO-00079,MEM-00079,2026-04-05,49.0,cb,paye
PAY-000236,ABO-00079,MEM-00079,2026-05-05,49.0,cb,paye
PAY-000237,ABO-00079,MEM-00079,2026-06-05,49.0,cb,paye
PAY-000238,ABO-00080,MEM-00080,2026-04-05,69.0,prelevement_sepa,paye
PAY-000239,ABO-00080,MEM-00080,2026-05-05,69.0,prelevement_sepa,paye
PAY-000240,ABO-00080,MEM-00080,2026-06-05,69.0,prelevement_sepa,paye
PAY-000241,ABO-00081,MEM-00081,2026-04-05,49.0,prelevement_sepa,paye
PAY-000242,ABO-00081,MEM-00081,2026-05-05,49.0,prelevement_sepa,paye
PAY-000243,ABO-00081,MEM-00081,2026-06-05,49.0,prelevement_sepa,paye
PAY-000244,ABO-00082,MEM-00082,2026-04-05,49.0,prelevement_sepa,paye
PAY-000245,ABO-00082,MEM-00082,2026-05-05,49.0,prelevement_sepa,paye
PAY-000246,ABO-00082,MEM-00082,2026-06-05,49.0,prelevement_sepa,paye
PAY-000247,ABO-00083,MEM-00083,2026-04-05,49.0,prelevement_sepa,paye
PAY-000248,ABO-00083,MEM-00083,2026-05-05,49.0,prelevement_sepa,paye
PAY-000249,ABO-00083,MEM-00083,2026-06-05,49.0,prelevement_sepa,paye
PAY-000250,ABO-00084,MEM-00084,2026-04-05,69.0,prelevement_sepa,paye
PAY-000251,ABO-00084,MEM-00084,2026-05-05,69.0,prelevement_sepa,paye
PAY-000252,ABO-00084,MEM-00084,2026-06-05,69.0,prelevement_sepa,paye
PAY-000253,ABO-00085,MEM-00085,2026-04-05,69.0,prelevement_sepa,paye
PAY-000254,ABO-00085,MEM-00085,2026-05-05,69.0,prelevement_sepa,paye
PAY-000255,ABO-00085,MEM-00085,2026-06-05,69.0,prelevement_sepa,paye
PAY-000256,ABO-00086,MEM-00086,2026-04-05,49.0,prelevement_sepa,paye
PAY-000257,ABO-00086,MEM-00086,2026-05-05,49.0,prelevement_sepa,paye
PAY-000258,ABO-00086,MEM-00086,2026-06-05,49.0,prelevement_sepa,paye
PAY-000259,ABO-00087,MEM-00087,2026-04-05,49.0,cb,paye
PAY-000260,ABO-00087,MEM-00087,2026-05-05,49.0,cb,paye
PAY-000261,ABO-00087,MEM-00087,2026-06-05,49.0,cb,paye
PAY-000262,ABO-00088,MEM-00088,2026-04-05,49.0,prelevement_sepa,paye
PAY-000263,ABO-00088,MEM-00088,2026-05-05,49.0,prelevement_sepa,paye
PAY-000264,ABO-00088,MEM-00088,2026-06-05,49.0,prelevement_sepa,paye
PAY-000265,ABO-00089,MEM-00089,2026-04-05,69.0,prelevement_sepa,paye
PAY-000266,ABO-00089,MEM-00089,2026-05-05,69.0,prelevement_sepa,paye
PAY-000267,ABO-00089,MEM-00089,2026-06-05,69.0,prelevement_sepa,paye
PAY-000268,ABO-00090,MEM-00090,2026-04-05,69.0,prelevement_sepa,paye
PAY-000269,ABO-00090,MEM-00090,2026-05-05,69.0,prelevement_sepa,paye
PAY-000270,ABO-00090,MEM-00090,2026-06-05,69.0,prelevement_sepa,paye
PAY-000271,ABO-00091,MEM-00091,2026-04-05,49.0,prelevement_sepa,paye
PAY-000272,ABO-00091,MEM-00091,2026-05-05,49.0,prelevement_sepa,paye
PAY-000273,ABO-00091,MEM-00091,2026-06-05,49.0,prelevement_sepa,paye
PAY-000274,ABO-00092,MEM-00092,2026-04-05,69.0,prelevement_sepa,paye
PAY-000275,ABO-00092,MEM-00092,2026-05-05,69.0,prelevement_sepa,paye
PAY-000276,ABO-00092,MEM-00092,2026-06-05,69.0,prelevement_sepa,paye
PAY-000277,ABO-00093,MEM-00093,2026-04-05,49.0,prelevement_sepa,paye
PAY-000278,ABO-00093,MEM-00093,2026-05-05,49.0,prelevement_sepa,paye
PAY-000279,ABO-00093,MEM-00093,2026-06-05,49.0,prelevement_sepa,paye
PAY-000280,ABO-00094,MEM-00094,2026-04-05,49.0,prelevement_sepa,paye
PAY-000281,ABO-00094,MEM-00094,2026-05-05,49.0,prelevement_sepa,paye
PAY-000282,ABO-00094,MEM-00094,2026-06-05,49.0,prelevement_sepa,paye
PAY-000283,ABO-00095,MEM-00095,2026-04-05,49.0,prelevement_sepa,paye
PAY-000284,ABO-00095,MEM-00095,2026-05-05,49.0,prelevement_sepa,paye
PAY-000285,ABO-00095,MEM-00095,2026-06-05,49.0,prelevement_sepa,paye
PAY-000286,ABO-00096,MEM-00096,2026-04-05,49.0,prelevement_sepa,paye
PAY-000287,ABO-00096,MEM-00096,2026-05-05,49.0,prelevement_sepa,paye
PAY-000288,ABO-00096,MEM-00096,2026-06-05,49.0,prelevement_sepa,echoue
PAY-000289,ABO-00097,MEM-00097,2026-04-05,49.0,prelevement_sepa,paye
PAY-000290,ABO-00097,MEM-00097,2026-05-05,49.0,prelevement_sepa,paye
PAY-000291,ABO-00097,MEM-00097,2026-06-05,49.0,prelevement_sepa,paye
PAY-000292,ABO-00098,MEM-00098,2026-04-05,69.0,prelevement_sepa,paye
PAY-000293,ABO-00098,MEM-00098,2026-05-05,69.0,prelevement_sepa,paye
PAY-000294,ABO-00098,MEM-00098,2026-06-05,69.0,prelevement_sepa,paye
PAY-000295,ABO-00099,MEM-00099,2026-04-05,49.0,prelevement_sepa,paye
PAY-000296,ABO-00099,MEM-00099,2026-05-05,49.0,prelevement_sepa,paye
PAY-000297,ABO-00099,MEM-00099,2026-06-05,49.0,prelevement_sepa,paye
PAY-000298,ABO-00100,MEM-00100,2026-04-05,49.0,prelevement_sepa,paye
PAY-000299,ABO-00100,MEM-00100,2026-05-05,49.0,prelevement_sepa,paye
PAY-000300,ABO-00100,MEM-00100,2026-06-05,49.0,prelevement_sepa,paye
PAY-000301,ABO-00101,MEM-00101,2026-04-05,49.0,prelevement_sepa,paye
PAY-000302,ABO-00101,MEM-00101,2026-05-05,49.0,prelevement_sepa,paye
PAY-000303,ABO-00101,MEM-00101,2026-06-05,49.0,prelevement_sepa,echoue
PAY-000304,ABO-00102,MEM-00102,2026-04-05,69.0,prelevement_sepa,paye
PAY-000305,ABO-00102,MEM-00102,2026-05-05,69.0,prelevement_sepa,paye
PAY-000306,ABO-00102,MEM-00102,2026-06-05,69.0,prelevement_sepa,paye
PAY-000307,ABO-00103,MEM-00103,2026-04-05,69.0,cb,paye
PAY-000308,ABO-00103,MEM-00103,2026-05-05,69.0,cb,paye
PAY-000309,ABO-00103,MEM-00103,2026-06-05,69.0,cb,paye
PAY-000310,ABO-00104,MEM-00104,2026-04-05,69.0,prelevement_sepa,paye
PAY-000311,ABO-00104,MEM-00104,2026-05-05,69.0,prelevement_sepa,paye
PAY-000312,ABO-00104,MEM-00104,2026-06-05,69.0,prelevement_sepa,paye
PAY-000313,ABO-00105,MEM-00105,2026-04-05,49.0,prelevement_sepa,paye
PAY-000314,ABO-00105,MEM-00105,2026-05-05,49.0,prelevement_sepa,paye
PAY-000315,ABO-00105,MEM-00105,2026-06-05,49.0,prelevement_sepa,paye
PAY-000316,ABO-00106,MEM-00106,2026-04-05,69.0,especes,paye
PAY-000317,ABO-00106,MEM-00106,2026-05-05,69.0,especes,paye
PAY-000318,ABO-00106,MEM-00106,2026-06-05,69.0,especes,paye
PAY-000319,ABO-00107,MEM-00107,2026-04-05,49.0,especes,paye
PAY-000320,ABO-00107,MEM-00107,2026-05-05,49.0,especes,paye
PAY-000321,ABO-00107,MEM-00107,2026-06-05,49.0,especes,echoue
PAY-000322,ABO-00108,MEM-00108,2026-04-05,49.0,prelevement_sepa,paye
PAY-000323,ABO-00108,MEM-00108,2026-05-05,49.0,prelevement_sepa,paye
