checkin_id,membre_id,date_heure_entree,type_acces
CHK-000049,MEM-00006,2026-06-11T14:00,qr_code
CHK-000050,MEM-00006,2026-06-12T09:45,qr_code
CHK-000051,MEM-00006,2026-06-17T18:20,qr_code
CHK-000052,MEM-00006,2026-06-18T11:10,qr_code
CHK-000053,MEM-00006,2026-06-21T11:30,qr_code
CHK-000054,MEM-00007,2026-06-02T15:45,badge
CHK-000055,MEM-00007,2026-06-05T19:00,qr_code
CHK-000056,MEM-00007,2026-06-06T19:00,badge
CHK-000057,MEM-00007,2026-06-09T17:30,qr_code
CHK-000058,MEM-00007,2026-06-11T14:10,badge
CHK-000059,MEM-00007,2026-06-12T17:30,qr_code
CHK-000060,MEM-00007,2026-06-13T17:10,badge
CHK-000061,MEM-00007,2026-06-14T16:00,qr_code
CHK-000062,MEM-00007,2026-06-18T15:20,badge
CHK-000063,MEM-00007,2026-06-20T08:00,qr_code
CHK-000064,MEM-00007,2026-06-20T10:45,qr_code
CHK-000065,MEM-00010,2026-06-03T09:30,qr_code
CHK-000066,MEM-00010,2026-06-03T18:20,badge
CHK-000067,MEM-00010,2026-06-06T10:00,qr_code
CHK-000068,MEM-00010,2026-06-06T16:30,qr_code
CHK-000069,MEM-00010,2026-06-07T19:20,qr_code
CHK-000070,MEM-00010,2026-06-09T15:00,badge
CHK-000071,MEM-00010,2026-06-13T14:00,badge
CHK-000072,MEM-00010,2026-06-16T09:30,qr_code
CHK-000073,MEM-00010,2026-06-17T19:10,qr_code
CHK-000074,MEM-00010,2026-06-19T11:20,qr_code
CHK-000075,MEM-00010,2026-06-20T15:30,badge
CHK-000076,MEM-00012,2026-06-03T09:45,badge
CHK-000077,MEM-00012,2026-06-04T19:00,badge
CHK-000078,MEM-00012,2026-06-07T15:45,qr_code
CHK-000079,MEM-00012,2026-06-07T16:20,badge
CHK-000080,MEM-00012,2026-06-07T17:30,qr_code
CHK-000081,MEM-00012,2026-06-10T17:45,badge
CHK-000082,MEM-00012,2026-06-13T08:30,badge
CHK-000083,MEM-00012,2026-06-13T11:10,qr_code
CHK-000084,MEM-00012,2026-06-16T18:30,qr_code
CHK-000085,MEM-00012,2026-06-21T19:00,badge
CHK-000086,MEM-00014,2026-06-04T18:00,badge
CHK-000087,MEM-00014,2026-06-05T16:00,qr_code
CHK-000088,MEM-00014,2026-06-06T17:45,badge
CHK-000089,MEM-00014,2026-06-10T11:00,qr_code
CHK-000090,MEM-00014,2026-06-14T14:30,badge
CHK-000091,MEM-00014,2026-06-18T09:10,qr_code
CHK-000092,MEM-00014,2026-06-18T14:10,qr_code
CHK-000093,MEM-00014,2026-06-19T11:20,badge
CHK-000094,MEM-00014,2026-06-19T19:45,badge
CHK-000095,MEM-00015,2026-06-03T15:00,badge
CHK-000096,MEM-00016,2026-06-06T09:10,qr_code
CHK-000097,MEM-00016,2026-06-06T14:20,badge
CHK-000098,MEM-00016,2026-06-06T15:00,qr_code
CHK-000099,MEM-00016,2026-06-06T18:00,badge
CHK-000100,MEM-00016,2026-06-10T09:20,badge
CHK-000101,MEM-00016,2026-06-13T14:30,badge
CHK-000102,MEM-00016,2026-06-14T16:45,qr_code
CHK-000103,MEM-00016,2026-06-17T19:20,badge
CHK-000104,MEM-00017,2026-06-02T16:00,badge
CHK-000105,MEM-00017,2026-06-03T14:10,badge
CHK-000106,MEM-00017,2026-06-03T18:20,qr_code
CHK-000107,MEM-00017,2026-06-04T11:45,qr_code
CHK-000108,MEM-00017,2026-06-11T08:30,badge
CHK-000109,MEM-00017,2026-06-17T15:10,qr_code
CHK-000110,MEM-00017,2026-06-20T15:20,qr_code
CHK-000111,MEM-00017,2026-06-21T15:30,badge
CHK-000112,MEM-00018,2026-06-02T09:10,badge
CHK-000113,MEM-00018,2026-06-04T10:45,qr_code
CHK-000114,MEM-00018,2026-06-04T19:20,qr_code
CHK-000115,MEM-00018,2026-06-10T16:00,qr_code
CHK-000116,MEM-00018,2026-06-11T09:30,badge
CHK-000117,MEM-00018,2026-06-11T14:10,qr_code
CHK-000118,MEM-00018,2026-06-13T14:00,badge
CHK-000119,MEM-00018,2026-06-18T14:45,qr_code
CHK-000120,MEM-00018,2026-06-19T10:00,badge
CHK-000121,MEM-00018,2026-06-21T16:30,qr_code
CHK-000122,MEM-00019,2026-06-03T17:20,qr_code
CHK-000123,MEM-00019,2026-06-05T08:45,qr_code
CHK-000124,MEM-00019,2026-06-06T19:30,badge
CHK-000125,MEM-00019,2026-06-10T09:20,qr_code
CHK-000126,MEM-00019,2026-06-10T16:45,qr_code
CHK-000127,MEM-00019,2026-06-11T14:20,badge
CHK-000128,MEM-00019,2026-06-14T08:30,badge
CHK-000129,MEM-00019,2026-06-18T17:20,badge
CHK-000130,MEM-00020,2026-06-02T19:30,badge
CHK-000131,MEM-00020,2026-06-05T08:10,qr_code
CHK-000132,MEM-00020,2026-06-09T14:45,qr_code
CHK-000133,MEM-00020,2026-06-12T14:30,qr_code
CHK-000134,MEM-00020,2026-06-13T19:45,badge
CHK-000135,MEM-00020,2026-06-14T08:10,qr_code
CHK-000136,MEM-00020,2026-06-14T16:00,qr_code
CHK-000137,MEM-00020,2026-06-16T08:30,qr_code
CHK-000138,MEM-00020,2026-06-16T17:45,qr_code
CHK-000139,MEM-00020,2026-06-17T10:00,qr_code
CHK-000140,MEM-00020,2026-06-18T14:10,badge
CHK-000141,MEM-00020,2026-06-18T16:20,badge
CHK-000142,MEM-00020,2026-06-19T11:00,qr_code
CHK-000143,MEM-00020,2026-06-21T11:45,badge
CHK-000144,MEM-00020,2026-06-21T11:45,qr_code
CHK-000145,MEM-00021,2026-06-02T16:45,badge
CHK-000146,MEM-00021,2026-06-02T19:30,qr_code
CHK-000147,MEM-00021,2026-06-03T17:30,qr_code
CHK-000148,MEM-00021,2026-06-03T19:10,qr_code
CHK-000149,MEM-00021,2026-06-04T17:10,badge
CHK-000150,MEM-00021,2026-06-07T18:45,qr_code
CHK-000151,MEM-00021,2026-06-09T11:45,badge
CHK-000152,MEM-00021,2026-06-09T16:20,badge
CHK-000153,MEM-00021,2026-06-10T14:30,qr_code
CHK-000154,MEM-00021,2026-06-11T18:30,badge
CHK-000155,MEM-00021,2026-06-13T08:00,badge
CHK-000156,MEM-00021,2026-06-13T18:10,qr_code
CHK-000157,MEM-00021,2026-06-19T19:00,qr_code
CHK-000158,MEM-00021,2026-06-21T15:20,badge
CHK-000159,MEM-00021,2026-06-21T18:10,qr_code
CHK-000160,MEM-00022,2026-06-02T19:20,badge
CHK-000161,MEM-00022,2026-06-03T11:20,qr_code
CHK-000162,MEM-00022,2026-06-04T17:10,badge
CHK-000163,MEM-00022,2026-06-05T08:20,qr_code
CHK-000164,MEM-00022,2026-06-06T08:10,qr_code
CHK-000165,MEM-00022,2026-06-06T14:00,badge
CHK-000166,MEM-00022,2026-06-07T18:00,badge
CHK-000167,MEM-00022,2026-06-09T09:00,qr_code
CHK-000168,MEM-00022,2026-06-11T08:30,badge
CHK-000169,MEM-00022,2026-06-12T18:20,qr_code
CHK-000170,MEM-00022,2026-06-13T16:20,qr_code
CHK-000171,MEM-00022,2026-06-16T10:45,badge
CHK-000172,MEM-00022,2026-06-16T14:30,badge
CHK-000173,MEM-00023,2026-06-03T09:10,qr_code
CHK-000174,MEM-00023,2026-06-04T09:30,badge
CHK-000175,MEM-00023,2026-06-05T09:30,qr_code
CHK-000176,MEM-00023,2026-06-11T08:30,qr_code
CHK-000177,MEM-00023,2026-06-11T17:00,qr_code
CHK-000178,MEM-00023,2026-06-17T16:10,badge
CHK-000179,MEM-00023,2026-06-18T18:45,badge
CHK-000180,MEM-00023,2026-06-19T19:00,qr_code
CHK-000181,MEM-00026,2026-06-07T16:20,badge
CHK-000182,MEM-00026,2026-06-07T19:30,qr_code
CHK-000183,MEM-00026,2026-06-10T10:10,badge
CHK-000184,MEM-00026,2026-06-14T09:00,badge
CHK-000185,MEM-00026,2026-06-16T10:20,qr_code
CHK-000186,MEM-00026,2026-06-16T14:00,badge
CHK-000187,MEM-00026,2026-06-18T08:10,qr_code
CHK-000188,MEM-00026,2026-06-19T16:30,qr_code
CHK-000189,MEM-00028,2026-06-02T16:10,qr_code
CHK-000190,MEM-00028,2026-06-06T08:00,badge
CHK-000191,MEM-00028,2026-06-07T08:20,qr_code
CHK-000192,MEM-00028,2026-06-07T14:30,badge
CHK-000193,MEM-00028,2026-06-10T17:00,badge
CHK-000194,MEM-00028,2026-06-14T14:00,qr_code
CHK-000195,MEM-00028,2026-06-17T17:00,qr_code
CHK-000196,MEM-00028,2026-06-19T16:45,badge
CHK-000197,MEM-00029,2026-06-04T09:45,qr_code
CHK-000198,MEM-00030,2026-06-02T10:20,badge
CHK-000199,MEM-00030,2026-06-03T14:30,qr_code
CHK-000200,MEM-00030,2026-06-03T19:00,badge
CHK-000201,MEM-00030,2026-06-06T09:00,qr_code
CHK-000202,MEM-00030,2026-06-07T15:10,badge
CHK-000203,MEM-00030,2026-06-07T18:30,qr_code
CHK-000204,MEM-00030,2026-06-11T09:10,qr_code
CHK-000205,MEM-00030,2026-06-14T15:10,qr_code
CHK-000206,MEM-00030,2026-06-14T18:00,qr_code
CHK-000207,MEM-00030,2026-06-18T14:10,badge
CHK-000208,MEM-00030,2026-06-21T11:10,badge
CHK-000209,MEM-00031,2026-06-14T15:45,badge
CHK-000210,MEM-00032,2026-06-10T15:20,badge
CHK-000211,MEM-00032,2026-06-11T11:10,qr_code
CHK-000212,MEM-00032,2026-06-11T11:20,qr_code
CHK-000213,MEM-00032,2026-06-19T08:45,badge
CHK-000214,MEM-00032,2026-06-19T19:10,qr_code
CHK-000215,MEM-00033,2026-06-02T11:10,qr_code
CHK-000216,MEM-00033,2026-06-05T17:45,qr_code
CHK-000217,MEM-00033,2026-06-07T08:30,badge
CHK-000218,MEM-00033,2026-06-13T18:00,qr_code
CHK-000219,MEM-00033,2026-06-16T11:10,badge
CHK-000220,MEM-00033,2026-06-19T10:45,qr_code
CHK-000221,MEM-00034,2026-06-05T08:20,badge
CHK-000222,MEM-00034,2026-06-06T19:10,badge
CHK-000223,MEM-00034,2026-06-09T16:10,qr_code
CHK-000224,MEM-00034,2026-06-09T18:20,qr_code
CHK-000225,MEM-00034,2026-06-14T10:10,badge
CHK-000226,MEM-00034,2026-06-16T09:20,qr_code
CHK-000227,MEM-00034,2026-06-18T18:30,badge
CHK-000228,MEM-00034,2026-06-19T15:00,badge
CHK-000229,MEM-00034,2026-06-19T15:00,badge
CHK-000230,MEM-00034,2026-06-21T18:00,badge
CHK-000231,MEM-00036,2026-06-02T11:45,badge
CHK-000232,MEM-00036,2026-06-07T14:00,qr_code
CHK-000233,MEM-00036,2026-06-07T17:20,qr_code
CHK-000234,MEM-00036,2026-06-12T15:20,badge
CHK-000235,MEM-00036,2026-06-12T19:00,qr_code
CHK-000236,MEM-00036,2026-06-16T10:10,badge
CHK-000237,MEM-00036,2026-06-16T11:45,badge
CHK-000238,MEM-00036,2026-06-18T18:45,qr_code
CHK-000239,MEM-00036,2026-06-19T14:45,badge
CHK-000240,MEM-00037,2026-06-05T08:00,badge
CHK-000241,MEM-00037,2026-06-05T11:45,badge
CHK-000242,MEM-00037,2026-06-05T14:45,qr_code
CHK-000243,MEM-00037,2026-06-05T15:00,badge
CHK-000244,MEM-00037,2026-06-07T17:30,badge
CHK-000245,MEM-00037,2026-06-10T16:45,badge
CHK-000246,MEM-00037,2026-06-19T14:20,badge
CHK-000247,MEM-00038,2026-06-09T09:45,badge
CHK-000248,MEM-00038,2026-06-14T09:45,qr_code
CHK-000249,MEM-00038,2026-06-16T17:10,qr_code
CHK-000250,MEM-00038,2026-06-17T16:10,badge
CHK-000251,MEM-00038,2026-06-18T17:10,badge
CHK-000252,MEM-00039,2026-06-02T08:20,qr_code
CHK-000253,MEM-00039,2026-06-02T11:30,qr_code
CHK-000254,MEM-00039,2026-06-02T17:30,qr_code
CHK-000255,MEM-00039,2026-06-05T08:00,qr_code
CHK-000256,MEM-00039,2026-06-10T14:30,qr_code
CHK-000257,MEM-00039,2026-06-17T19:10,qr_code
CHK-000258,MEM-00039,2026-06-19T10:10,qr_code
CHK-000259,MEM-00039,2026-06-20T09:00,badge
CHK-000260,MEM-00039,2026-06-20T11:20,qr_code
CHK-000261,MEM-00039,2026-06-20T19:30,qr_code
CHK-000262,MEM-00039,2026-06-21T11:10,qr_code
CHK-000263,MEM-00040,2026-06-03T17:45,badge
CHK-000264,MEM-00040,2026-06-05T09:30,badge
CHK-000265,MEM-00040,2026-06-05T19:00,badge
CHK-000266,MEM-00040,2026-06-07T08:20,qr_code
CHK-000267,MEM-00040,2026-06-12T08:10,qr_code
CHK-000268,MEM-00040,2026-06-12T14:30,badge
CHK-000269,MEM-00040,2026-06-18T09:30,badge
CHK-000270,MEM-00040,2026-06-20T08:00,qr_code
CHK-000271,MEM-00040,2026-06-20T15:00,badge
CHK-000272,MEM-00041,2026-06-02T18:45,qr_code
CHK-000273,MEM-00041,2026-06-03T17:20,qr_code
CHK-000274,MEM-00041,2026-06-10T18:00,badge
CHK-000275,MEM-00041,2026-06-11T09:20,badge
CHK-000276,MEM-00041,2026-06-14T14:30,badge
CHK-000277,MEM-00041,2026-06-17T18:10,badge
CHK-000278,MEM-00041,2026-06-20T16:10,qr_code
CHK-000279,MEM-00042,2026-06-04T16:45,badge
CHK-000280,MEM-00042,2026-06-05T08:30,qr_code
CHK-000281,MEM-00042,2026-06-07T10:10,badge
CHK-000282,MEM-00042,2026-06-07T18:20,qr_code
CHK-000283,MEM-00042,2026-06-11T11:20,qr_code
CHK-000284,MEM-00042,2026-06-11T18:00,qr_code
CHK-000285,MEM-00042,2026-06-16T08:45,qr_code
CHK-000286,MEM-00043,2026-06-02T08:10,badge
CHK-000287,MEM-00043,2026-06-02T09:30,qr_code
CHK-000288,MEM-00043,2026-06-03T08:00,qr_code
CHK-000289,MEM-00043,2026-06-11T14:20,qr_code
CHK-000290,MEM-00043,2026-06-11T17:30,qr_code
CHK-000291,MEM-00043,2026-06-11T19:30,badge
CHK-000292,MEM-00044,2026-06-02T10:30,qr_code
CHK-000293,MEM-00044,2026-06-04T09:10,qr_code
CHK-000294,MEM-00044,2026-06-07T11:30,badge
CHK-000295,MEM-00044,2026-06-09T17:10,qr_code
CHK-000296,MEM-00044,2026-06-09T17:30,qr_code
CHK-000297,MEM-00044,2026-06-10T14:20,badge
CHK-000298,MEM-00044,2026-06-11T16:10,badge
CHK-000299,MEM-00044,2026-06-11T19:10,qr_code
CHK-000300,MEM-00044,2026-06-14T16:10,badge
CHK-000301,MEM-00044,2026-06-17T09:10,qr_code
CHK-000302,MEM-00045,2026-06-07T11:30,qr_code
CHK-000303,MEM-00045,2026-06-14T18:30,badge
CHK-000304,MEM-00045,2026-06-14T19:00,badge
CHK-000305,MEM-00045,2026-06-17T19:30,qr_code
CHK-000306,MEM-00045,2026-06-20T11:00,qr_code
CHK-000307,MEM-00046,2026-06-03T16:20,badge
CHK-000308,MEM-00046,2026-06-11T08:00,badge
CHK-000309,MEM-00046,2026-06-11T08:45,badge
CHK-000310,MEM-00046,2026-06-11T16:30,badge
CHK-000311,MEM-00046,2026-06-12T18:30,badge
CHK-000312,MEM-00046,2026-06-13T09:30,qr_code
CHK-000313,MEM-00046,2026-06-13T10:20,badge
CHK-000314,MEM-00046,2026-06-17T09:00,badge
CHK-000315,MEM-00046,2026-06-17T14:00,badge
CHK-000316,MEM-00046,2026-06-19T08:20,badge
CHK-000317,MEM-00047,2026-06-04T10:30,qr_code
CHK-000318,MEM-00047,2026-06-12T11:00,badge
CHK-000319,MEM-00047,2026-06-13T17:45,qr_code
CHK-000320,MEM-00047,2026-06-19T19:00,qr_code
CHK-000321,MEM-00047,2026-06-20T10:30,qr_code
CHK-000322,MEM-00047,2026-06-21T09:45,qr_code
CHK-000323,MEM-00048,2026-06-07T19:45,qr_code
CHK-000324,MEM-00048,2026-06-09T18:00,badge
CHK-000325,MEM-00048,2026-06-09T19:45,badge
CHK-000326,MEM-00048,2026-06-10T14:00,badge
CHK-000327,MEM-00048,2026-06-17T14:45,qr_code
CHK-000328,MEM-00048,2026-06-20T14:00,badge
CHK-000329,MEM-00049,2026-06-21T14:10,badge
CHK-000330,MEM-00050,2026-06-03T18:00,badge
CHK-000331,MEM-00050,2026-06-05T18:45,qr_code
CHK-000332,MEM-00050,2026-06-20T16:20,badge
CHK-000333,MEM-00050,2026-06-21T16:00,badge
CHK-000334,MEM-00051,2026-06-02T18:20,qr_code
CHK-000335,MEM-00051,2026-06-03T11:10,qr_code
CHK-000336,MEM-00051,2026-06-17T14:30,qr_code
CHK-000337,MEM-00051,2026-06-18T11:10,badge
CHK-000338,MEM-00051,2026-06-19T10:10,badge
CHK-000339,MEM-00051,2026-06-19T15:45,qr_code
CHK-000340,MEM-00051,2026-06-19T16:10,badge
CHK-000341,MEM-00051,2026-06-20T16:30,badge
CHK-000342,MEM-00051,2026-06-21T18:45,badge
CHK-000343,MEM-00053,2026-06-02T15:00,badge
CHK-000344,MEM-00053,2026-06-04T18:30,qr_code
CHK-000345,MEM-00053,2026-06-05T10:30,badge
CHK-000346,MEM-00053,2026-06-07T17:45,badge
CHK-000347,MEM-00053,2026-06-10T18:00,badge
CHK-000348,MEM-00053,2026-06-12T09:30,badge
CHK-000349,MEM-00053,2026-06-13T11:30,badge
CHK-000350,MEM-00053,2026-06-14T16:20,badge
CHK-000351,MEM-00053,2026-06-18T08:10,badge
CHK-000352,MEM-00053,2026-06-20T08:20,badge
CHK-000353,MEM-00053,2026-06-20T11:00,qr_code
CHK-000354,MEM-00053,2026-06-20T11:10,qr_code
CHK-000355,MEM-00053,2026-06-20T17:30,badge
CHK-000356,MEM-00053,2026-06-20T19:30,qr_code
CHK-000357,MEM-00053,2026-06-21T10:30,qr_code
CHK-000358,MEM-00055,2026-06-06T15:10,qr_code
CHK-000359,MEM-00055,2026-06-07T18:10,qr_code
CHK-000360,MEM-00055,2026-06-09T09:45,qr_code
CHK-000361,MEM-00055,2026-06-09T10:30,qr_code
CHK-000362,MEM-00055,2026-06-09T17:45,badge
CHK-000363,MEM-00055,2026-06-10T18:30,badge
CHK-000364,MEM-00055,2026-06-14T14:10,qr_code
CHK-000365,MEM-00055,2026-06-16T18:45,badge
CHK-000366,MEM-00055,2026-06-18T18:45,badge
CHK-000367,MEM-00055,2026-06-20T08:00,qr_code
CHK-000368,MEM-00056,2026-06-03T17:30,badge
CHK-000369,MEM-00056,2026-06-04T19:45,badge
CHK-000370,MEM-00056,2026-06-07T14:10,qr_code
CHK-000371,MEM-00056,2026-06-09T17:20,qr_code
CHK-000372,MEM-00056,2026-06-13T17:00,qr_code
CHK-000373,MEM-00056,2026-06-16T08:20,qr_code
CHK-000374,MEM-00056,2026-06-16T11:00,badge
CHK-000375,MEM-00056,2026-06-21T17:00,qr_code
CHK-000376,MEM-00057,2026-06-04T09:10,qr_code
CHK-000377,MEM-00057,2026-06-05T10:45,badge
CHK-000378,MEM-00057,2026-06-07T10:00,badge
CHK-000379,MEM-00057,2026-06-14T15:20,badge
CHK-000380,MEM-00057,2026-06-14T18:20,badge
CHK-000381,MEM-00057,2026-06-17T09:00,badge
CHK-000382,MEM-00057,2026-06-21T09:10,badge
CHK-000383,MEM-00058,2026-06-02T17:20,qr_code
CHK-000384,MEM-00058,2026-06-10T11:30,qr_code
CHK-000385,MEM-00058,2026-06-11T19:10,badge
CHK-000386,MEM-00058,2026-06-14T19:10,qr_code
CHK-000387,MEM-00059,2026-06-05T09:10,badge
CHK-000388,MEM-00059,2026-06-06T18:00,badge
CHK-000389,MEM-00059,2026-06-10T09:30,qr_code
CHK-000390,MEM-00059,2026-06-11T11:30,qr_code
CHK-000391,MEM-00059,2026-06-21T08:00,badge
CHK-000392,MEM-00060,2026-06-03T14:00,qr_code
CHK-000393,MEM-00060,2026-06-06T08:00,qr_code
CHK-000394,MEM-00060,2026-06-16T15:00,qr_code
CHK-000395,MEM-00063,2026-06-12T15:45,qr_code
CHK-000396,MEM-00063,2026-06-18T19:45,badge
CHK-000397,MEM-00065,2026-06-06T09:10,qr_code
CHK-000398,MEM-00065,2026-06-06T16:20,badge
CHK-000399,MEM-00065,2026-06-06T17:00,qr_code
CHK-000400,MEM-00065,2026-06-11T18:30,badge
CHK-000401,MEM-00065,2026-06-13T10:00,badge
CHK-000402,MEM-00065,2026-06-14T16:10,badge
CHK-000403,MEM-00065,2026-06-17T10:30,qr_code
CHK-000404,MEM-00065,2026-06-21T08:30,qr_code
CHK-000405,MEM-00066,2026-06-02T16:10,qr_code
CHK-000406,MEM-00066,2026-06-07T19:20,badge
CHK-000407,MEM-00066,2026-06-13T18:00,qr_code
CHK-000408,MEM-00066,2026-06-16T09:10,badge
CHK-000409,MEM-00066,2026-06-17T15:20,badge
CHK-000410,MEM-00066,2026-06-18T18:20,badge
CHK-000411,MEM-00066,2026-06-20T08:45,badge
CHK-000412,MEM-00066,2026-06-20T16:20,qr_code
CHK-000413,MEM-00067,2026-06-02T09:10,qr_code
CHK-000414,MEM-00067,2026-06-04T10:45,qr_code
CHK-000415,MEM-00067,2026-06-07T08:00,qr_code
CHK-000416,MEM-00067,2026-06-07T17:00,badge
CHK-000417,MEM-00067,2026-06-10T16:10,qr_code
CHK-000418,MEM-00067,2026-06-11T18:00,qr_code
CHK-000419,MEM-00070,2026-06-05T18:30,qr_code
CHK-000420,MEM-00070,2026-06-09T17:45,qr_code
CHK-000421,MEM-00070,2026-06-14T15:20,badge
CHK-000422,MEM-00070,2026-06-18T18:20,qr_code
CHK-000423,MEM-00070,2026-06-20T11:10,qr_code
CHK-000424,MEM-00071,2026-06-02T08:45,badge
CHK-000425,MEM-00071,2026-06-02T18:45,badge
CHK-000426,MEM-00071,2026-06-03T08:30,qr_code
CHK-000427,MEM-00071,2026-06-04T14:00,qr_code
CHK-000428,MEM-00071,2026-06-06T14:30,badge
CHK-000429,MEM-00071,2026-06-09T09:00,badge
CHK-000430,MEM-00071,2026-06-09T11:20,badge
CHK-000431,MEM-00071,2026-06-10T18:45,qr_code
CHK-000432,MEM-00071,2026-06-11T08:10,qr_code
CHK-000433,MEM-00071,2026-06-20T19:00,qr_code
CHK-000434,MEM-00072,2026-06-20T16:10,qr_code
CHK-000435,MEM-00073,2026-06-02T17:30,qr_code
CHK-000436,MEM-00073,2026-06-03T08:00,badge
CHK-000437,MEM-00073,2026-06-06T10:20,badge
CHK-000438,MEM-00073,2026-06-07T08:45,badge
CHK-000439,MEM-00073,2026-06-07T09:00,qr_code
CHK-000440,MEM-00073,2026-06-07T18:00,badge
CHK-000441,MEM-00073,2026-06-10T08:20,badge
CHK-000442,MEM-00073,2026-06-12T16:45,qr_code
CHK-000443,MEM-00073,2026-06-17T16:10,qr_code
CHK-000444,MEM-00073,2026-06-17T18:45,qr_code
CHK-000445,MEM-00073,2026-06-18T18:10,qr_code
CHK-000446,MEM-00073,2026-06-21T17:20,qr_code
CHK-000447,MEM-00075,2026-06-02T08:20,qr_code
CHK-000448,MEM-00075,2026-06-02T19:30,qr_code
CHK-000449,MEM-00075,2026-06-05T08:20,badge
CHK-000450,MEM-00075,2026-06-05T17:30,qr_code
CHK-000451,MEM-00075,2026-06-06T17:00,badge
CHK-000452,MEM-00075,2026-06-14T08:20,qr_code
CHK-000453,MEM-00075,2026-06-14T15:20,badge
CHK-000454,MEM-00075,2026-06-14T18:10,badge
CHK-000455,MEM-00075,2026-06-16T17:30,badge
CHK-000456,MEM-00075,2026-06-18T09:20,qr_code
CHK-000457,MEM-00075,2026-06-19T10:45,badge
CHK-000458,MEM-00075,2026-06-19T19:45,badge
CHK-000459,MEM-00076,2026-06-03T10:20,badge
CHK-000460,MEM-00076,2026-06-04T19:20,badge
CHK-000461,MEM-00076,2026-06-12T09:00,qr_code
CHK-000462,MEM-00076,2026-06-12T10:20,qr_code
CHK-000463,MEM-00076,2026-06-18T08:30,badge
CHK-000464,MEM-00076,2026-06-20T17:30,qr_code
CHK-000465,MEM-00077,2026-06-03T09:45,badge
CHK-000466,MEM-00077,2026-06-04T11:45,qr_code
CHK-000467,MEM-00077,2026-06-05T08:20,qr_code
CHK-000468,MEM-00077,2026-06-06T18:30,qr_code
CHK-000469,MEM-00077,2026-06-10T11:30,qr_code
CHK-000470,MEM-00077,2026-06-10T18:20,qr_code
CHK-000471,MEM-00077,2026-06-11T15:10,badge
CHK-000472,MEM-00077,2026-06-13T14:20,qr_code
CHK-000473,MEM-00077,2026-06-17T10:20,qr_code
CHK-000474,MEM-00077,2026-06-19T09:45,badge
CHK-000475,MEM-00078,2026-06-05T10:10,qr_code
CHK-000476,MEM-00078,2026-06-09T10:00,badge
CHK-000477,MEM-00078,2026-06-11T10:20,qr_code
CHK-000478,MEM-00078,2026-06-13T18:45,qr_code
CHK-000479,MEM-00078,2026-06-16T19:45,qr_code
CHK-000480,MEM-00078,2026-06-17T19:20,badge
