abonnement_id,membre_id,type_abonnement,date_debut,date_fin,montant_mensuel,mode_paiement,statut_abonnement,date_resiliation,motif_resiliation
ABO-00090,MEM-00090,premium,2023-05-31,,69.0,prelevement_sepa,actif,,
ABO-00091,MEM-00091,essentiel,2023-02-15,,49.0,prelevement_sepa,actif,,
ABO-00092,MEM-00092,premium,2022-06-24,,69.0,prelevement_sepa,actif,,
ABO-00093,MEM-00093,essentiel,2022-03-07,,49.0,prelevement_sepa,actif,,
ABO-00094,MEM-00094,essentiel,2023-09-26,,49.0,prelevement_sepa,actif,,
ABO-00095,MEM-00095,essentiel,2025-10-16,,49.0,prelevement_sepa,actif,,
ABO-00096,MEM-00096,essentiel,2021-09-05,,49.0,prelevement_sepa,actif,,
ABO-00097,MEM-00097,essentiel,2024-04-27,,49.0,prelevement_sepa,actif,,
ABO-00098,MEM-00098,premium,2023-08-27,,69.0,prelevement_sepa,actif,,
ABO-00099,MEM-00099,essentiel,2025-04-25,,49.0,prelevement_sepa,actif,,
ABO-00100,MEM-00100,essentiel,2021-06-23,,49.0,prelevement_sepa,actif,,
ABO-00101,MEM-00101,essentiel,2026-01-02,,49.0,prelevement_sepa,suspendu_impaye,,
ABO-00102,MEM-00102,premium,2021-11-21,,69.0,prelevement_sepa,actif,,
ABO-00103,MEM-00103,premium,2025-10-24,,69.0,cb,actif,,
ABO-00104,MEM-00104,premium,2022-07-29,,69.0,prelevement_sepa,actif,,
ABO-00105,MEM-00105,essentiel,2023-02-15,,49.0,prelevement_sepa,actif,,
ABO-00106,MEM-00106,premium,2026-02-20,,69.0,especes,actif,,
ABO-00107,MEM-00107,essentiel,2021-04-20,,49.0,especes,suspendu_impaye,,
ABO-00108,MEM-00108,essentiel,2022-04-29,,49.0,prelevement_sepa,actif,,
ABO-00109,MEM-00109,essentiel,2021-04-30,,49.0,prelevement_sepa,actif,,
ABO-00110,MEM-00110,essentiel,2024-08-08,,49.0,prelevement_sepa,actif,,
ABO-00111,MEM-00111,premium,2024-01-10,,69.0,cb,actif,,
ABO-00112,MEM-00112,essentiel,2023-10-17,,49.0,prelevement_sepa,actif,,
ABO-00113,MEM-00113,premium,2022-06-10,,69.0,prelevement_sepa,actif,,
ABO-00114,MEM-00114,essentiel,2021-05-04,,49.0,prelevement_sepa,actif,,
ABO-00115,MEM-00115,essentiel,2025-05-18,,49.0,especes,actif,,
ABO-00116,MEM-00116,essentiel,2024-06-17,,49.0,prelevement_sepa,actif,,
ABO-00117,MEM-00117,essentiel,2025-12-22,,49.0,cb,actif,,
ABO-00118,MEM-00118,essentiel,2023-09-06,,49.0,prelevement_sepa,actif,,
ABO-00119,MEM-00119,premium,2024-02-01,,69.0,prelevement_sepa,actif,,
ABO-00120,MEM-00120,essentiel,2023-10-18,,49.0,especes,actif,,
ABO-00121,MEM-00121,essentiel,2025-08-12,,49.0,prelevement_sepa,actif,,
ABO-00122,MEM-00122,premium,2025-10-06,,69.0,especes,actif,,
ABO-00123,MEM-00123,essentiel,2024-08-01,,49.0,prelevement_sepa,actif,,
ABO-00124,MEM-00124,essentiel,2025-06-13,,49.0,prelevement_sepa,actif,,
ABO-00125,MEM-00125,premium,2024-10-31,,69.0,prelevement_sepa,actif,,
ABO-00126,MEM-00126,essentiel,2021-10-17,,49.0,prelevement_sepa,actif,,
ABO-00127,MEM-00127,essentiel,2022-02-25,,49.0,especes,actif,,
ABO-00128,MEM-00128,essentiel,2025-06-30,,49.0,prelevement_sepa,actif,,
ABO-00129,MEM-00129,premium,2022-04-04,,69.0,especes,actif,,
ABO-00130,MEM-00130,essentiel,2021-11-12,,49.0,prelevement_sepa,actif,,
ABO-00131,MEM-00131,premium,2021-07-06,,69.0,cb,actif,,
ABO-00132,MEM-00132,essentiel,2021-10-06,,49.0,prelevement_sepa,actif,,
ABO-00133,MEM-00133,essentiel,2022-04-24,,49.0,prelevement_sepa,actif,,
ABO-00134,MEM-00134,essentiel,2022-10-28,,49.0,especes,actif,,
ABO-00135,MEM-00135,premium,2024-05-30,,69.0,especes,actif,,
ABO-00136,MEM-00136,essentiel,2022-06-03,,49.0,prelevement_sepa,actif,,
ABO-00137,MEM-00137,premium,2022-08-26,,69.0,prelevement_sepa,actif,,
ABO-00138,MEM-00138,essentiel,2024-03-10,,49.0,cb,actif,,
ABO-00139,MEM-00139,essentiel,2024-08-16,,49.0,cb,actif,,
ABO-00140,MEM-00140,essentiel,2023-09-10,,49.0,prelevement_sepa,actif,,
ABO-00141,MEM-00141,premium,2024-11-27,,69.0,prelevement_sepa,actif,,
ABO-00142,MEM-00142,essentiel,2022-03-28,,49.0,prelevement_sepa,actif,,
ABO-00143,MEM-00143,premium,2023-07-18,,69.0,prelevement_sepa,actif,,
ABO-00144,MEM-00144,essentiel,2024-10-30,,49.0,prelevement_sepa,actif,,
ABO-00145,MEM-00145,essentiel,2024-11-01,,49.0,prelevement_sepa,actif,,
ABO-00146,MEM-00146,premium,2021-11-27,,69.0,prelevement_sepa,actif,,
ABO-00147,MEM-00147,essentiel,2024-12-02,,49.0,cb,actif,,
ABO-00148,MEM-00148,essentiel,2024-09-22,,49.0,prelevement_sepa,actif,,
ABO-00149,MEM-00149,essentiel,2023-06-18,,49.0,prelevement_sepa,actif,,
ABO-00150,MEM-00150,premium,2021-07-10,,69.0,prelevement_sepa,actif,,
ABO-00151,MEM-00151,essentiel,2022-03-19,,49.0,prelevement_sepa,actif,,
ABO-00152,MEM-00152,premium,2021-06-12,,69.0,prelevement_sepa,actif,,
ABO-00153,MEM-00153,premium,2021-04-09,,69.0,prelevement_sepa,actif,,
ABO-00154,MEM-00154,essentiel,2023-02-23,,49.0,prelevement_sepa,actif,,
ABO-00155,MEM-00155,essentiel,2023-07-16,,49.0,prelevement_sepa,actif,,
ABO-00156,MEM-00156,essentiel,2023-10-12,,49.0,prelevement_sepa,actif,,
ABO-00157,MEM-00157,premium,2025-12-20,,69.0,prelevement_sepa,actif,,
ABO-00158,MEM-00158,premium,2024-02-09,,69.0,prelevement_sepa,actif,,
ABO-00159,MEM-00159,premium,2022-07-12,,69.0,prelevement_sepa,actif,,
ABO-00160,MEM-00160,premium,2022-08-19,,69.0,prelevement_sepa,actif,,
ABO-00161,MEM-00161,essentiel,2023-10-02,,49.0,prelevement_sepa,actif,,
ABO-00162,MEM-00162,premium,2023-01-27,,69.0,prelevement_sepa,actif,,
ABO-00163,MEM-00163,essentiel,2021-05-16,,49.0,prelevement_sepa,actif,,
ABO-00164,MEM-00164,essentiel,2023-03-29,,49.0,prelevement_sepa,actif,,
ABO-00165,MEM-00165,premium,2025-01-24,,69.0,prelevement_sepa,actif,,
ABO-00166,MEM-00166,essentiel,2022-02-17,,49.0,cb,actif,,
ABO-00167,MEM-00167,essentiel,2021-01-16,,49.0,prelevement_sepa,actif,,
ABO-00168,MEM-00168,essentiel,2024-03-20,,49.0,prelevement_sepa,actif,,
ABO-00169,MEM-00169,essentiel,2023-02-05,,49.0,prelevement_sepa,actif,,
ABO-00170,MEM-00170,essentiel,2024-12-22,,49.0,prelevement_sepa,actif,,
ABO-00171,MEM-00171,essentiel,2021-08-01,,49.0,prelevement_sepa,actif,,
ABO-00172,MEM-00172,premium,2023-11-02,,69.0,prelevement_sepa,actif,,
ABO-00173,MEM-00173,essentiel,2021-12-24,,49.0,prelevement_sepa,actif,,
ABO-00174,MEM-00174,premium,2024-08-08,,69.0,prelevement_sepa,actif,,
ABO-00175,MEM-00175,essentiel,2023-06-03,,49.0,prelevement_sepa,actif,,
ABO-00176,MEM-00176,essentiel,2025-03-09,,49.0,prelevement_sepa,actif,,
ABO-00177,MEM-00177,essentiel,2023-12-12,,49.0,prelevement_sepa,actif,,
ABO-00178,MEM-00178,premium,2025-08-08,,69.0,prelevement_sepa,actif,,
ABO-00179,MEM-00179,essentiel,2021-11-29,,49.0,especes,actif,,
ABO-00180,MEM-00180,premium,2025-09-01,,69.0,cb,actif,,
ABO-00181,MEM-00181,essentiel,2021-01-01,,49.0,prelevement_sepa,actif,,
ABO-00182,MEM-00182,essentiel,2023-03-10,,49.0,prelevement_sepa,suspendu_impaye,,
ABO-00183,MEM-00183,essentiel,2026-02-11,,49.0,prelevement_sepa,actif,,
ABO-00184,MEM-00184,premium,2026-05-07,,69.0,prelevement_sepa,actif,,
ABO-00185,MEM-00185,premium,2021-11-18,,69.0,prelevement_sepa,actif,,
ABO-00186,MEM-00186,essentiel,2024-01-30,,49.0,cb,actif,,
ABO-00187,MEM-00187,essentiel,2024-07-07,,49.0,cb,actif,,
ABO-00188,MEM-00188,premium,2023-02-23,,69.0,cb,actif,,
ABO-00189,MEM-00189,premium,2023-11-09,,69.0,prelevement_sepa,actif,,
ABO-00190,MEM-00190,essentiel,2023-02-14,,49.0,cb,actif,,
ABO-00191,MEM-00191,essentiel,2024-03-06,,49.0,cb,actif,,
ABO-00192,MEM-00192,essentiel,2026-04-07,,49.0,especes,actif,,
ABO-00193,MEM-00193,premium,2021-11-13,,69.0,prelevement_sepa,actif,,
ABO-00194,MEM-00194,essentiel,2024-11-16,,49.0,prelevement_sepa,actif,,
ABO-00195,MEM-00195,essentiel,2021-06-24,,49.0,prelevement_sepa,actif,,
ABO-00196,MEM-00196,premium,2023-07-17,,69.0,prelevement_sepa,actif,,
ABO-00197,MEM-00197,essentiel,2024-04-25,,49.0,prelevement_sepa,actif,,
ABO-00198,MEM-00198,essentiel,2023-08-15,,49.0,prelevement_sepa,actif,,
ABO-00199,MEM-00199,premium,2024-01-13,,69.0,prelevement_sepa,actif,,
ABO-00200,MEM-00200,premium,2023-06-10,,69.0,prelevement_sepa,actif,,
ABO-00201,MEM-00201,essentiel,2021-04-03,,49.0,cb,actif,,
ABO-00202,MEM-00202,essentiel,2023-10-26,,49.0,prelevement_sepa,actif,,
ABO-00203,MEM-00203,essentiel,2025-09-17,,49.0,prelevement_sepa,actif,,
ABO-00204,MEM-00204,essentiel,2024-04-15,,49.0,prelevement_sepa,actif,,
ABO-00205,MEM-00205,essentiel,2022-04-25,,49.0,prelevement_sepa,actif,,
ABO-00206,MEM-00206,essentiel,2025-03-06,,49.0,prelevement_sepa,actif,,
ABO-00207,MEM-00207,premium,2022-09-18,,69.0,prelevement_sepa,actif,,
ABO-00208,MEM-00208,essentiel,2023-01-20,,49.0,prelevement_sepa,actif,,
ABO-00209,MEM-00209,premium,2021-04-29,,69.0,prelevement_sepa,actif,,
ABO-00210,MEM-00210,essentiel,2024-06-05,,49.0,prelevement_sepa,actif,,
ABO-00211,MEM-00211,essentiel,2024-10-25,,49.0,cb,actif,,
ABO-00212,MEM-00212,premium,2025-04-07,,69.0,prelevement_sepa,suspendu_impaye,,
ABO-00213,MEM-00213,essentiel,2021-08-29,,49.0,prelevement_sepa,actif,,
ABO-00214,MEM-00214,premium,2023-12-18,,69.0,prelevement_sepa,actif,,
ABO-00215,MEM-00215,essentiel,2023-10-20,,49.0,prelevement_sepa,actif,,
ABO-00216,MEM-00216,essentiel,2025-06-05,,49.0,prelevement_sepa,actif,,
ABO-00217,MEM-00217,premium,2025-09-26,,69.0,prelevement_sepa,actif,,
ABO-00218,MEM-00218,premium,2023-02-08,,69.0,cb,actif,,
ABO-00219,MEM-00219,essentiel,2023-11-09,,49.0,prelevement_sepa,actif,,
ABO-00220,MEM-00220,essentiel,2022-08-25,,49.0,prelevement_sepa,actif,,
ABO-00221,MEM-00221,premium,2023-11-11,,69.0,prelevement_sepa,actif,,
ABO-00222,MEM-00222,essentiel,2021-05-05,,49.0,prelevement_sepa,actif,,
ABO-00223,MEM-00223,essentiel,2026-01-30,,49.0,prelevement_sepa,actif,,
ABO-00224,MEM-00224,essentiel,2023-04-09,,49.0,prelevement_sepa,actif,,
ABO-00225,MEM-00225,essentiel,2022-08-09,,49.0,prelevement_sepa,actif,,
ABO-00226,MEM-00226,premium,2024-05-22,,69.0,prelevement_sepa,actif,,
ABO-00227,MEM-00227,essentiel,2024-01-29,,49.0,prelevement_sepa,actif,,
ABO-00228,MEM-00228,essentiel,2023-11-30,,49.0,cb,actif,,
ABO-00229,MEM-00229,essentiel,2024-05-03,,49.0,prelevement_sepa,actif,,
ABO-00230,MEM-00230,essentiel,2025-01-01,,49.0,prelevement_sepa,actif,,
ABO-00231,MEM-00231,essentiel,2021-10-10,,49.0,prelevement_sepa,actif,,
ABO-00232,MEM-00232,premium,2023-09-27,,69.0,prelevement_sepa,actif,,
ABO-00233,MEM-00233,essentiel,2024-07-04,,49.0,prelevement_sepa,actif,,
ABO-00234,MEM-00234,essentiel,2024-08-16,,49.0,prelevement_sepa,actif,,
ABO-00235,MEM-00235,essentiel,2024-07-09,,49.0,prelevement_sepa,actif,,
ABO-00236,MEM-00236,premium,2022-12-17,,69.0,prelevement_sepa,actif,,
ABO-00237,MEM-00237,essentiel,2024-06-03,,49.0,prelevement_sepa,suspendu_impaye,,
ABO-00238,MEM-00238,essentiel,2026-04-15,,49.0,cb,actif,,
ABO-00239,MEM-00239,essentiel,2025-05-31,,49.0,prelevement_sepa,actif,,
ABO-00240,MEM-00240,essentiel,2021-11-21,,49.0,especes,actif,,
ABO-00241,MEM-00241,essentiel,2024-03-07,,49.0,prelevement_sepa,actif,,
ABO-00242,MEM-00242,premium,2023-04-14,,69.0,prelevement_sepa,actif,,
ABO-00243,MEM-00243,essentiel,2024-01-18,,49.0,prelevement_sepa,actif,,
ABO-00244,MEM-00244,essentiel,2021-10-02,,49.0,prelevement_sepa,actif,,
ABO-00245,MEM-00245,essentiel,2024-10-09,,49.0,prelevement_sepa,actif,,
ABO-00246,MEM-00246,essentiel,2025-09-28,,49.0,prelevement_sepa,actif,,
ABO-00247,MEM-00247,premium,2023-03-14,,69.0,prelevement_sepa,actif,,
ABO-00248,MEM-00248,premium,2022-04-01,,69.0,prelevement_sepa,actif,,
ABO-00249,MEM-00249,essentiel,2022-12-17,,49.0,prelevement_sepa,actif,,
ABO-00250,MEM-00250,premium,2021-05-12,,69.0,prelevement_sepa,actif,,
ABO-00251,MEM-00251,essentiel,2024-01-26,,49.0,prelevement_sepa,actif,,
ABO-00252,MEM-00252,essentiel,2024-11-02,,49.0,prelevement_sepa,actif,,
ABO-00253,MEM-00253,essentiel,2025-05-23,,49.0,prelevement_sepa,actif,,
ABO-00254,MEM-00254,essentiel,2021-01-09,,49.0,cb,actif,,
ABO-00255,MEM-00255,premium,2025-11-27,,69.0,prelevement_sepa,actif,,
ABO-00256,MEM-00256,essentiel,2024-02-29,,49.0,cb,actif,,
ABO-00257,MEM-00257,essentiel,2024-07-12,,49.0,cb,actif,,
ABO-00258,MEM-00258,essentiel,2022-11-08,,49.0,prelevement_sepa,actif,,
ABO-00259,MEM-00259,essentiel,2025-04-11,,49.0,prelevement_sepa,actif,,
ABO-00260,MEM-00260,essentiel,2022-03-21,,49.0,cb,actif,,
ABO-00261,MEM-00261,premium,2025-10-21,,69.0,prelevement_sepa,actif,,
ABO-00262,MEM-00262,essentiel,2025-10-20,,49.0,prelevement_sepa,actif,,
ABO-00263,MEM-00263,premium,2025-08-03,,69.0,cb,suspendu_impaye,,
ABO-00264,MEM-00264,essentiel,2023-06-16,,49.0,prelevement_sepa,actif,,
ABO-00265,MEM-00265,premium,2023-02-11,,69.0,prelevement_sepa,actif,,
ABO-00266,MEM-00266,premium,2025-09-12,,69.0,cb,actif,,
ABO-00267,MEM-00267,premium,2025-07-23,,69.0,prelevement_sepa,actif,,
ABO-00268,MEM-00268,premium,2023-01-09,,69.0,prelevement_sepa,actif,,
ABO-00269,MEM-00269,essentiel,2023-04-28,,49.0,prelevement_sepa,actif,,
ABO-00270,MEM-00270,essentiel,2022-08-16,,49.0,prelevement_sepa,actif,,
ABO-00271,MEM-00271,essentiel,2022-06-06,,49.0,prelevement_sepa,actif,,
ABO-00272,MEM-00272,essentiel,2026-05-21,,49.0,prelevement_sepa,actif,,
ABO-00273,MEM-00273,essentiel,2026-01-16,,49.0,especes,actif,,
ABO-00274,MEM-00274,essentiel,2022-02-26,,49.0,prelevement_sepa,actif,,
ABO-00275,MEM-00275,premium,2025-07-30,,69.0,prelevement_sepa,actif,,
ABO-00276,MEM-00276,premium,2023-01-13,,69.0,prelevement_sepa,actif,,
ABO-00277,MEM-00277,essentiel,2022-11-12,,49.0,prelevement_sepa,actif,,
ABO-00278,MEM-00278,essentiel,2025-02-05,,49.0,prelevement_sepa,actif,,
ABO-00279,MEM-00279,premium,2022-08-29,,69.0,prelevement_sepa,actif,,
ABO-00280,MEM-00280,essentiel,2026-03-27,,49.0,cb,actif,,
ABO-00281,MEM-00281,premium,2023-12-17,,69.0,prelevement_sepa,actif,,
ABO-00282,MEM-00282,essentiel,2021-06-27,,49.0,prelevement_sepa,actif,,
ABO-00283,MEM-00283,essentiel,2021-10-02,,49.0,prelevement_sepa,actif,,
ABO-00284,MEM-00284,premium,2023-11-28,,69.0,prelevement_sepa,suspendu_impaye,,
ABO-00285,MEM-00285,premium,2021-10-14,,69.0,prelevement_sepa,actif,,
ABO-00286,MEM-00286,essentiel,2025-10-05,,49.0,prelevement_sepa,actif,,
ABO-00287,MEM-00287,essentiel,2021-10-26,,49.0,prelevement_sepa,actif,,
ABO-00288,MEM-00288,essentiel,2025-08-23,,49.0,prelevement_sepa,suspendu_impaye,,
ABO-00289,MEM-00289,essentiel,2025-01-13,,49.0,cb,actif,,
ABO-00290,MEM-00290,essentiel,2025-10-10,,49.0,prelevement_sepa,actif,,
ABO-00291,MEM-00291,essentiel,2024-10-16,,49.0,cb,actif,,
ABO-00292,MEM-00292,essentiel,2024-05-12,,49.0,prelevement_sepa,actif,,
ABO-00293,MEM-00293,essentiel,2024-08-10,,49.0,prelevement_sepa,actif,,
ABO-00294,MEM-00294,premium,2025-06-26,,69.0,prelevement_sepa,actif,,
ABO-00295,MEM-00295,premium,2021-02-01,,69.0,prelevement_sepa,actif,,
ABO-00296,MEM-00296,premium,2022-12-06,,69.0,prelevement_sepa,actif,,
ABO-00297,MEM-00297,premium,2025-07-13,,69.0,prelevement_sepa,actif,,
ABO-00298,MEM-00298,essentiel,2023-08-14,,49.0,prelevement_sepa,actif,,
ABO-00299,MEM-00299,essentiel,2025-11-02,,49.0,prelevement_sepa,actif,,
ABO-00300,MEM-00300,essentiel,2024-07-04,,49.0,prelevement_sepa,actif,,
ABO-00301,MEM-00301,essentiel,2022-06-22,,49.0,prelevement_sepa,actif,,
ABO-00302,MEM-00302,essentiel,2026-04-15,,49.0,prelevement_sepa,actif,,
ABO-00303,MEM-00303,essentiel,2025-06-29,,49.0,cb,actif,,
ABO-00304,MEM-00304,premium,2025-07-02,,69.0,prelevement_sepa,actif,,
ABO-00305,MEM-00305,premium,2025-01-15,,69.0,prelevement_sepa,actif,,
ABO-00306,MEM-00306,essentiel,2025-01-20,,49.0,prelevement_sepa,actif,,
ABO-00307,MEM-00307,premium,2023-02-03,,69.0,prelevement_sepa,actif,,
ABO-00308,MEM-00308,essentiel,2026-02-11,,49.0,cb,actif,,
ABO-00309,MEM-00309,essentiel,2023-12-22,,49.0,prelevement_sepa,actif,,
ABO-00310,MEM-00310,essentiel,2022-05-19,,49.0,especes,actif,,
ABO-00311,MEM-00311,essentiel,2022-03-28,,49.0,prelevement_sepa,actif,,
ABO-00312,MEM-00312,essentiel,2021-07-15,,49.0,prelevement_sepa,actif,,
ABO-00313,MEM-00313,premium,2025-11-04,,69.0,prelevement_sepa,actif,,
ABO-00314,MEM-00314,essentiel,2025-10-08,,49.0,prelevement_sepa,suspendu_impaye,,
ABO-00315,MEM-00315,essentiel,2023-11-04,,49.0,prelevement_sepa,actif,,
ABO-00316,MEM-00316,premium,2022-11-18,,69.0,prelevement_sepa,actif,,
ABO-00317,MEM-00317,essentiel,2026-01-24,,49.0,prelevement_sepa,actif,,
ABO-00318,MEM-00318,essentiel,2024-07-01,,49.0,prelevement_sepa,actif,,
ABO-00319,MEM-00319,essentiel,2021-03-03,,49.0,prelevement_sepa,actif,,
